0.1 | GMM Diagonal | nComponents = 1 | Raw | Uncalibrated | PCA = 5 | ActDCF = 1.053 | MinDCF = 0.519
0.1 | GMM Diagonal | nComponents = 1 | Raw | Calibrated | PCA = 5 | ActDCF = 1.135 | MinDCF = 0.516
0.5 | GMM Diagonal | nComponents = 1 | Raw | Uncalibrated | PCA = 5 | ActDCF = 0.14 | MinDCF = 0.134
0.5 | GMM Diagonal | nComponents = 1 | Raw | Calibrated | PCA = 5 | ActDCF = 0.208 | MinDCF = 0.134
0.1 | GMM Diagonal | nComponents = 1 | Normalized | Uncalibrated | PCA = 5 | ActDCF = 1.003 | MinDCF = 0.576
0.1 | GMM Diagonal | nComponents = 1 | Normalized | Calibrated | PCA = 5 | ActDCF = 1.263 | MinDCF = 0.575
0.5 | GMM Diagonal | nComponents = 1 | Normalized | Uncalibrated | PCA = 5 | ActDCF = 0.157 | MinDCF = 0.152
0.5 | GMM Diagonal | nComponents = 1 | Normalized | Calibrated | PCA = 5 | ActDCF = 0.235 | MinDCF = 0.153
0.1 | GMM Diagonal | nComponents = 1 | Raw | Uncalibrated | PCA = 6 | ActDCF = 1.047 | MinDCF = 0.521
0.1 | GMM Diagonal | nComponents = 1 | Raw | Calibrated | PCA = 6 | ActDCF = 1.15 | MinDCF = 0.52
0.5 | GMM Diagonal | nComponents = 1 | Raw | Uncalibrated | PCA = 6 | ActDCF = 0.141 | MinDCF = 0.135
0.5 | GMM Diagonal | nComponents = 1 | Raw | Calibrated | PCA = 6 | ActDCF = 0.209 | MinDCF = 0.135
0.1 | GMM Diagonal | nComponents = 1 | Normalized | Uncalibrated | PCA = 6 | ActDCF = 1.013 | MinDCF = 0.586
0.1 | GMM Diagonal | nComponents = 1 | Normalized | Calibrated | PCA = 6 | ActDCF = 1.26 | MinDCF = 0.587
0.5 | GMM Diagonal | nComponents = 1 | Normalized | Uncalibrated | PCA = 6 | ActDCF = 0.158 | MinDCF = 0.152
0.5 | GMM Diagonal | nComponents = 1 | Normalized | Calibrated | PCA = 6 | ActDCF = 0.23 | MinDCF = 0.153
0.1 | GMM Diagonal | nComponents = 2 | Raw | Uncalibrated | PCA = 5 | ActDCF = 0.945 | MinDCF = 0.505
0.1 | GMM Diagonal | nComponents = 2 | Raw | Calibrated | PCA = 5 | ActDCF = 1.137 | MinDCF = 0.505
0.5 | GMM Diagonal | nComponents = 2 | Raw | Uncalibrated | PCA = 5 | ActDCF = 0.133 | MinDCF = 0.129
0.5 | GMM Diagonal | nComponents = 2 | Raw | Calibrated | PCA = 5 | ActDCF = 0.201 | MinDCF = 0.13
0.1 | GMM Diagonal | nComponents = 2 | Normalized | Uncalibrated | PCA = 5 | ActDCF = 0.954 | MinDCF = 0.544
0.1 | GMM Diagonal | nComponents = 2 | Normalized | Calibrated | PCA = 5 | ActDCF = 1.219 | MinDCF = 0.54
0.5 | GMM Diagonal | nComponents = 2 | Normalized | Uncalibrated | PCA = 5 | ActDCF = 0.157 | MinDCF = 0.148
0.5 | GMM Diagonal | nComponents = 2 | Normalized | Calibrated | PCA = 5 | ActDCF = 0.21 | MinDCF = 0.149
0.1 | GMM Diagonal | nComponents = 2 | Raw | Uncalibrated | PCA = 6 | ActDCF = 0.912 | MinDCF = 0.509
0.1 | GMM Diagonal | nComponents = 2 | Raw | Calibrated | PCA = 6 | ActDCF = 1.107 | MinDCF = 0.509
0.5 | GMM Diagonal | nComponents = 2 | Raw | Uncalibrated | PCA = 6 | ActDCF = 0.13 | MinDCF = 0.125
0.5 | GMM Diagonal | nComponents = 2 | Raw | Calibrated | PCA = 6 | ActDCF = 0.204 | MinDCF = 0.126
0.1 | GMM Diagonal | nComponents = 2 | Normalized | Uncalibrated | PCA = 6 | ActDCF = 0.967 | MinDCF = 0.542
0.1 | GMM Diagonal | nComponents = 2 | Normalized | Calibrated | PCA = 6 | ActDCF = 1.238 | MinDCF = 0.545
