0.1 | GMM Tied | nComponents = 1 | Raw | Uncalibrated | PCA = 5 | ActDCF = 1.024 | MinDCF = 0.519
0.1 | GMM Tied | nComponents = 1 | Raw | Calibrated | PCA = 5 | ActDCF = 1.139 | MinDCF = 0.517
0.5 | GMM Tied | nComponents = 1 | Raw | Uncalibrated | PCA = 5 | ActDCF = 0.14 | MinDCF = 0.131
0.5 | GMM Tied | nComponents = 1 | Raw | Calibrated | PCA = 5 | ActDCF = 0.205 | MinDCF = 0.133
0.1 | GMM Tied | nComponents = 1 | Normalized | Uncalibrated | PCA = 5 | ActDCF = 0.999 | MinDCF = 0.549
0.1 | GMM Tied | nComponents = 1 | Normalized | Calibrated | PCA = 5 | ActDCF = 1.16 | MinDCF = 0.547
0.5 | GMM Tied | nComponents = 1 | Normalized | Uncalibrated | PCA = 5 | ActDCF = 0.149 | MinDCF = 0.141
0.5 | GMM Tied | nComponents = 1 | Normalized | Calibrated | PCA = 5 | ActDCF = 0.226 | MinDCF = 0.14
0.1 | GMM Tied | nComponents = 1 | Raw | Uncalibrated | PCA = 6 | ActDCF = 1.0 | MinDCF = 0.516
0.1 | GMM Tied | nComponents = 1 | Raw | Calibrated | PCA = 6 | ActDCF = 1.138 | MinDCF = 0.515
0.5 | GMM Tied | nComponents = 1 | Raw | Uncalibrated | PCA = 6 | ActDCF = 0.137 | MinDCF = 0.135
0.5 | GMM Tied | nComponents = 1 | Raw | Calibrated | PCA = 6 | ActDCF = 0.207 | MinDCF = 0.136
0.1 | GMM Tied | nComponents = 1 | Normalized | Uncalibrated | PCA = 6 | ActDCF = 1.002 | MinDCF = 0.54
0.1 | GMM Tied | nComponents = 1 | Normalized | Calibrated | PCA = 6 | ActDCF = 1.163 | MinDCF = 0.54
0.5 | GMM Tied | nComponents = 1 | Normalized | Uncalibrated | PCA = 6 | ActDCF = 0.145 | MinDCF = 0.139
0.5 | GMM Tied | nComponents = 1 | Normalized | Calibrated | PCA = 6 | ActDCF = 0.218 | MinDCF = 0.139
0.1 | GMM Tied | nComponents = 2 | Raw | Uncalibrated | PCA = 5 | ActDCF = 1.027 | MinDCF = 0.519
0.1 | GMM Tied | nComponents = 2 | Raw | Calibrated | PCA = 5 | ActDCF = 1.134 | MinDCF = 0.52
0.5 | GMM Tied | nComponents = 2 | Raw | Uncalibrated | PCA = 5 | ActDCF = 0.141 | MinDCF = 0.132
0.5 | GMM Tied | nComponents = 2 | Raw | Calibrated | PCA = 5 | ActDCF = 0.206 | MinDCF = 0.133
0.1 | GMM Tied | nComponents = 2 | Normalized | Uncalibrated | PCA = 5 | ActDCF = 0.999 | MinDCF = 0.549
0.1 | GMM Tied | nComponents = 2 | Normalized | Calibrated | PCA = 5 | ActDCF = 1.158 | MinDCF = 0.547
0.5 | GMM Tied | nComponents = 2 | Normalized | Uncalibrated | PCA = 5 | ActDCF = 0.149 | MinDCF = 0.14
0.5 | GMM Tied | nComponents = 2 | Normalized | Calibrated | PCA = 5 | ActDCF = 0.225 | MinDCF = 0.141
0.1 | GMM Tied | nComponents = 2 | Raw | Uncalibrated | PCA = 6 | ActDCF = 1.0 | MinDCF = 0.517
0.1 | GMM Tied | nComponents = 2 | Raw | Calibrated | PCA = 6 | ActDCF = 1.137 | MinDCF = 0.515
0.5 | GMM Tied | nComponents = 2 | Raw | Uncalibrated | PCA = 6 | ActDCF = 0.137 | MinDCF = 0.135
0.5 | GMM Tied | nComponents = 2 | Raw | Calibrated | PCA = 6 | ActDCF = 0.207 | MinDCF = 0.136
0.1 | GMM Tied | nComponents = 2 | Normalized | Uncalibrated | PCA = 6 | ActDCF = 1.004 | MinDCF = 0.54
0.1 | GMM Tied | nComponents = 2 | Normalized | Calibrated | PCA = 6 | ActDCF = 1.163 | MinDCF = 0.54
0.5 | GMM Tied | nComponents = 2 | Normalized | Uncalibrated | PCA = 6 | ActDCF = 0.145 | MinDCF = 0.139
0.5 | GMM Tied | nComponents = 2 | Normalized | Calibrated | PCA = 6 | ActDCF = 0.218 | MinDCF = 0.139
0.1 | GMM Tied | nComponents = 4 | Raw | Uncalibrated | PCA = 5 | ActDCF = 1.039 | MinDCF = 0.506
0.1 | GMM Tied | nComponents = 4 | Raw | Calibrated | PCA = 5 | ActDCF = 1.108 | MinDCF = 0.509
0.5 | GMM Tied | nComponents = 4 | Raw | Uncalibrated | PCA = 5 | ActDCF = 0.14 | MinDCF = 0.131
0.5 | GMM Tied | nComponents = 4 | Raw | Calibrated | PCA = 5 | ActDCF = 0.206 | MinDCF = 0.13
0.1 | GMM Tied | nComponents = 4 | Normalized | Uncalibrated | PCA = 5 | ActDCF = 1.019 | MinDCF = 0.529
0.1 | GMM Tied | nComponents = 4 | Normalized | Calibrated | PCA = 5 | ActDCF = 1.154 | MinDCF = 0.531
0.5 | GMM Tied | nComponents = 4 | Normalized | Uncalibrated | PCA = 5 | ActDCF = 0.144 | MinDCF = 0.139
0.5 | GMM Tied | nComponents = 4 | Normalized | Calibrated | PCA = 5 | ActDCF = 0.218 | MinDCF = 0.138
0.1 | GMM Tied | nComponents = 4 | Raw | Uncalibrated | PCA = 6 | ActDCF = 1.027 | MinDCF = 0.511
0.1 | GMM Tied | nComponents = 4 | Raw | Calibrated | PCA = 6 | ActDCF = 1.114 | MinDCF = 0.507
0.5 | GMM Tied | nComponents = 4 | Raw | Uncalibrated | PCA = 6 | ActDCF = 0.139 | MinDCF = 0.133
0.5 | GMM Tied | nComponents = 4 | Raw | Calibrated | PCA = 6 | ActDCF = 0.199 | MinDCF = 0.134
0.1 | GMM Tied | nComponents = 4 | Normalized | Uncalibrated | PCA = 6 | ActDCF = 0.995 | MinDCF = 0.516
0.1 | GMM Tied | nComponents = 4 | Normalized | Calibrated | PCA = 6 | ActDCF = 1.115 | MinDCF = 0.516
0.5 | GMM Tied | nComponents = 4 | Normalized | Uncalibrated | PCA = 6 | ActDCF = 0.138 | MinDCF = 0.136
0.5 | GMM Tied | nComponents = 4 | Normalized | Calibrated | PCA = 6 | ActDCF = 0.209 | MinDCF = 0.135
0.1 | GMM Tied | nComponents = 8 | Raw | Uncalibrated | PCA = 5 | ActDCF = 1.135 | MinDCF = 0.51
0.1 | GMM Tied | nComponents = 8 | Raw | Calibrated | PCA = 5 | ActDCF = 1.148 | MinDCF = 0.505
0.5 | GMM Tied | nComponents = 8 | Raw | Uncalibrated | PCA = 5 | ActDCF = 0.141 | MinDCF = 0.134
0.5 | GMM Tied | nComponents = 8 | Raw | Calibrated | PCA = 5 | ActDCF = 0.208 | MinDCF = 0.134
0.1 | GMM Tied | nComponents = 8 | Normalized | Uncalibrated | PCA = 5 | ActDCF = 1.08 | MinDCF = 0.525
0.1 | GMM Tied | nComponents = 8 | Normalized | Calibrated | PCA = 5 | ActDCF = 1.165 | MinDCF = 0.526
0.5 | GMM Tied | nComponents = 8 | Normalized | Uncalibrated | PCA = 5 | ActDCF = 0.15 | MinDCF = 0.143
0.5 | GMM Tied | nComponents = 8 | Normalized | Calibrated | PCA = 5 | ActDCF = 0.216 | MinDCF = 0.143
0.1 | GMM Tied | nComponents = 8 | Raw | Uncalibrated | PCA = 6 | ActDCF = 1.105 | MinDCF = 0.499
0.1 | GMM Tied | nComponents = 8 | Raw | Calibrated | PCA = 6 | ActDCF = 1.109 | MinDCF = 0.501
0.5 | GMM Tied | nComponents = 8 | Raw | Uncalibrated | PCA = 6 | ActDCF = 0.137 | MinDCF = 0.13
0.5 | GMM Tied | nComponents = 8 | Raw | Calibrated | PCA = 6 | ActDCF = 0.206 | MinDCF = 0.13
0.1 | GMM Tied | nComponents = 8 | Normalized | Uncalibrated | PCA = 6 | ActDCF = 1.107 | MinDCF = 0.531
0.1 | GMM Tied | nComponents = 8 | Normalized | Calibrated | PCA = 6 | ActDCF = 1.159 | MinDCF = 0.53
0.5 | GMM Tied | nComponents = 8 | Normalized | Uncalibrated | PCA = 6 | ActDCF = 0.143 | MinDCF = 0.139
0.5 | GMM Tied | nComponents = 8 | Normalized | Calibrated | PCA = 6 | ActDCF = 0.214 | MinDCF = 0.138
0.1 | GMM Tied | nComponents = 16 | Raw | Uncalibrated | PCA = 5 | ActDCF = 1.147 | MinDCF = 0.494
0.1 | GMM Tied | nComponents = 16 | Raw | Calibrated | PCA = 5 | ActDCF = 1.114 | MinDCF = 0.491
0.5 | GMM Tied | nComponents = 16 | Raw | Uncalibrated | PCA = 5 | ActDCF = 0.141 | MinDCF = 0.131
0.5 | GMM Tied | nComponents = 16 | Raw | Calibrated | PCA = 5 | ActDCF = 0.208 | MinDCF = 0.132
0.1 | GMM Tied | nComponents = 16 | Normalized | Uncalibrated | PCA = 5 | ActDCF = 1.104 | MinDCF = 0.511
0.1 | GMM Tied | nComponents = 16 | Normalized | Calibrated | PCA = 5 | ActDCF = 1.133 | MinDCF = 0.51
0.5 | GMM Tied | nComponents = 16 | Normalized | Uncalibrated | PCA = 5 | ActDCF = 0.138 | MinDCF = 0.133
0.5 | GMM Tied | nComponents = 16 | Normalized | Calibrated | PCA = 5 | ActDCF = 0.212 | MinDCF = 0.134
0.1 | GMM Tied | nComponents = 16 | Raw | Uncalibrated | PCA = 6 | ActDCF = 1.119 | MinDCF = 0.492
0.1 | GMM Tied | nComponents = 16 | Raw | Calibrated | PCA = 6 | ActDCF = 1.113 | MinDCF = 0.497
0.5 | GMM Tied | nComponents = 16 | Raw | Uncalibrated | PCA = 6 | ActDCF = 0.14 | MinDCF = 0.132
0.5 | GMM Tied | nComponents = 16 | Raw | Calibrated | PCA = 6 | ActDCF = 0.207 | MinDCF = 0.132
0.1 | GMM Tied | nComponents = 16 | Normalized | Uncalibrated | PCA = 6 | ActDCF = 1.112 | MinDCF = 0.511
0.1 | GMM Tied | nComponents = 16 | Normalized | Calibrated | PCA = 6 | ActDCF = 1.142 | MinDCF = 0.511
0.5 | GMM Tied | nComponents = 16 | Normalized | Uncalibrated | PCA = 6 | ActDCF = 0.141 | MinDCF = 0.135
0.5 | GMM Tied | nComponents = 16 | Normalized | Calibrated | PCA = 6 | ActDCF = 0.209 | MinDCF = 0.134
0.1 | GMM Tied | nComponents = 32 | Raw | Uncalibrated | PCA = 5 | ActDCF = 1.139 | MinDCF = 0.49
0.1 | GMM Tied | nComponents = 32 | Raw | Calibrated | PCA = 5 | ActDCF = 1.093 | MinDCF = 0.486
0.5 | GMM Tied | nComponents = 32 | Raw | Uncalibrated | PCA = 5 | ActDCF = 0.14 | MinDCF = 0.132
0.5 | GMM Tied | nComponents = 32 | Raw | Calibrated | PCA = 5 | ActDCF = 0.208 | MinDCF = 0.132
0.1 | GMM Tied | nComponents = 32 | Normalized | Uncalibrated | PCA = 5 | ActDCF = 1.1 | MinDCF = 0.509
0.1 | GMM Tied | nComponents = 32 | Normalized | Calibrated | PCA = 5 | ActDCF = 1.152 | MinDCF = 0.507
0.5 | GMM Tied | nComponents = 32 | Normalized | Uncalibrated | PCA = 5 | ActDCF = 0.139 | MinDCF = 0.135
0.5 | GMM Tied | nComponents = 32 | Normalized | Calibrated | PCA = 5 | ActDCF = 0.213 | MinDCF = 0.135
0.1 | GMM Tied | nComponents = 32 | Raw | Uncalibrated | PCA = 6 | ActDCF = 1.132 | MinDCF = 0.495
0.1 | GMM Tied | nComponents = 32 | Raw | Calibrated | PCA = 6 | ActDCF = 1.12 | MinDCF = 0.497
0.5 | GMM Tied | nComponents = 32 | Raw | Uncalibrated | PCA = 6 | ActDCF = 0.139 | MinDCF = 0.133
0.5 | GMM Tied | nComponents = 32 | Raw | Calibrated | PCA = 6 | ActDCF = 0.206 | MinDCF = 0.133
0.1 | GMM Tied | nComponents = 32 | Normalized | Uncalibrated | PCA = 6 | ActDCF = 1.11 | MinDCF = 0.509
0.1 | GMM Tied | nComponents = 32 | Normalized | Calibrated | PCA = 6 | ActDCF = 1.142 | MinDCF = 0.512
0.5 | GMM Tied | nComponents = 32 | Normalized | Uncalibrated | PCA = 6 | ActDCF = 0.142 | MinDCF = 0.135
0.5 | GMM Tied | nComponents = 32 | Normalized | Calibrated | PCA = 6 | ActDCF = 0.21 | MinDCF = 0.135
