0.1 | 0.1 | Linear Regression | Lambda = 1.00e-05 | Raw | Uncalibrated | PCA = 5| ActDCF = 1.0 | MinDCF = 1.0
0.1 | 0.5 | Linear Regression | Lambda = 1.00e-05 | Raw | Uncalibrated | PCA = 5| ActDCF = 1.0 | MinDCF = 0.594
0.1 | 0.1 | Linear Regression | Lambda = 1.00e-05 | Normalized | Uncalibrated | PCA = 5| ActDCF = 1.0 | MinDCF = 1.0
0.1 | 0.5 | Linear Regression | Lambda = 1.00e-05 | Normalized | Uncalibrated | PCA = 5| ActDCF = 1.0 | MinDCF = 0.64
0.1 | 0.1 | Linear Regression | Lambda = 1.00e-05 | Raw | Uncalibrated | PCA = 6| ActDCF = 1.0 | MinDCF = 1.0
0.1 | 0.5 | Linear Regression | Lambda = 1.00e-05 | Raw | Uncalibrated | PCA = 6| ActDCF = 1.0 | MinDCF = 0.598
0.1 | 0.1 | Linear Regression | Lambda = 1.00e-05 | Normalized | Uncalibrated | PCA = 6| ActDCF = 1.0 | MinDCF = 1.0
0.1 | 0.5 | Linear Regression | Lambda = 1.00e-05 | Normalized | Uncalibrated | PCA = 6| ActDCF = 1.0 | MinDCF = 0.661
0.1 | 0.1 | Linear Regression | Lambda = 5.99e-05 | Raw | Uncalibrated | PCA = 5| ActDCF = 1.0 | MinDCF = 1.0
0.1 | 0.5 | Linear Regression | Lambda = 5.99e-05 | Raw | Uncalibrated | PCA = 5| ActDCF = 1.0 | MinDCF = 0.594
0.1 | 0.1 | Linear Regression | Lambda = 5.99e-05 | Normalized | Uncalibrated | PCA = 5| ActDCF = 1.0 | MinDCF = 1.0
0.1 | 0.5 | Linear Regression | Lambda = 5.99e-05 | Normalized | Uncalibrated | PCA = 5| ActDCF = 1.0 | MinDCF = 0.64
0.1 | 0.1 | Linear Regression | Lambda = 5.99e-05 | Raw | Uncalibrated | PCA = 6| ActDCF = 1.0 | MinDCF = 1.0
0.1 | 0.5 | Linear Regression | Lambda = 5.99e-05 | Raw | Uncalibrated | PCA = 6| ActDCF = 1.0 | MinDCF = 0.598
