0.5 | 0.1 | Quadratic Regression | Lambda = 1.00e-05 | Raw | PCA = 5 | ActDCF = 1.95 | MinDCF = 0.88
0.5 | 0.5 | Quadratic Regression | Lambda = 1.00e-05 | Raw | PCA = 5 | ActDCF = 0.26 | MinDCF = 0.252
0.5 | 0.1 | Quadratic Regression | Lambda = 1.00e-05 | Normalized | PCA = 5 | ActDCF = 2.416 | MinDCF = 0.991
0.5 | 0.5 | Quadratic Regression | Lambda = 1.00e-05 | Normalized | PCA = 5 | ActDCF = 0.38 | MinDCF = 0.368
0.5 | 0.1 | Quadratic Regression | Lambda = 1.00e-05 | Raw | PCA = 6 | ActDCF = 0.932 | MinDCF = 0.546
0.5 | 0.5 | Quadratic Regression | Lambda = 1.00e-05 | Raw | PCA = 6 | ActDCF = 0.135 | MinDCF = 0.128
0.5 | 0.1 | Quadratic Regression | Lambda = 1.00e-05 | Normalized | PCA = 6 | ActDCF = 2.414 | MinDCF = 0.991
0.5 | 0.5 | Quadratic Regression | Lambda = 1.00e-05 | Normalized | PCA = 6 | ActDCF = 0.378 | MinDCF = 0.368
0.5 | 0.1 | Quadratic Regression | Lambda = 5.99e-05 | Raw | PCA = 5 | ActDCF = 1.95 | MinDCF = 0.88
0.5 | 0.5 | Quadratic Regression | Lambda = 5.99e-05 | Raw | PCA = 5 | ActDCF = 0.26 | MinDCF = 0.252
0.5 | 0.1 | Quadratic Regression | Lambda = 5.99e-05 | Normalized | PCA = 5 | ActDCF = 2.416 | MinDCF = 0.991
0.5 | 0.5 | Quadratic Regression | Lambda = 5.99e-05 | Normalized | PCA = 5 | ActDCF = 0.38 | MinDCF = 0.368
0.5 | 0.1 | Quadratic Regression | Lambda = 5.99e-05 | Raw | PCA = 6 | ActDCF = 0.932 | MinDCF = 0.546
0.5 | 0.5 | Quadratic Regression | Lambda = 5.99e-05 | Raw | PCA = 6 | ActDCF = 0.135 | MinDCF = 0.128
0.5 | 0.1 | Quadratic Regression | Lambda = 5.99e-05 | Normalized | PCA = 6 | ActDCF = 2.414 | MinDCF = 0.991
0.5 | 0.5 | Quadratic Regression | Lambda = 5.99e-05 | Normalized | PCA = 6 | ActDCF = 0.378 | MinDCF = 0.368
0.5 | 0.1 | Quadratic Regression | Lambda = 3.59e-04 | Raw | PCA = 5 | ActDCF = 1.95 | MinDCF = 0.88
0.5 | 0.5 | Quadratic Regression | Lambda = 3.59e-04 | Raw | PCA = 5 | ActDCF = 0.26 | MinDCF = 0.252
0.5 | 0.1 | Quadratic Regression | Lambda = 3.59e-04 | Normalized | PCA = 5 | ActDCF = 2.416 | MinDCF = 0.991
0.5 | 0.5 | Quadratic Regression | Lambda = 3.59e-04 | Normalized | PCA = 5 | ActDCF = 0.377 | MinDCF = 0.368
0.5 | 0.1 | Quadratic Regression | Lambda = 3.59e-04 | Raw | PCA = 6 | ActDCF = 0.932 | MinDCF = 0.546
0.5 | 0.5 | Quadratic Regression | Lambda = 3.59e-04 | Raw | PCA = 6 | ActDCF = 0.135 | MinDCF = 0.128
0.5 | 0.1 | Quadratic Regression | Lambda = 3.59e-04 | Normalized | PCA = 6 | ActDCF = 2.416 | MinDCF = 0.991
0.5 | 0.5 | Quadratic Regression | Lambda = 3.59e-04 | Normalized | PCA = 6 | ActDCF = 0.377 | MinDCF = 0.368
0.5 | 0.1 | Quadratic Regression | Lambda = 2.15e-03 | Raw | PCA = 5 | ActDCF = 1.95 | MinDCF = 0.88
0.5 | 0.5 | Quadratic Regression | Lambda = 2.15e-03 | Raw | PCA = 5 | ActDCF = 0.26 | MinDCF = 0.252
0.5 | 0.1 | Quadratic Regression | Lambda = 2.15e-03 | Normalized | PCA = 5 | ActDCF = 2.419 | MinDCF = 0.991
0.5 | 0.5 | Quadratic Regression | Lambda = 2.15e-03 | Normalized | PCA = 5 | ActDCF = 0.377 | MinDCF = 0.369
0.5 | 0.1 | Quadratic Regression | Lambda = 2.15e-03 | Raw | PCA = 6 | ActDCF = 0.932 | MinDCF = 0.546
0.5 | 0.5 | Quadratic Regression | Lambda = 2.15e-03 | Raw | PCA = 6 | ActDCF = 0.135 | MinDCF = 0.128
0.5 | 0.1 | Quadratic Regression | Lambda = 2.15e-03 | Normalized | PCA = 6 | ActDCF = 2.422 | MinDCF = 0.991
0.5 | 0.5 | Quadratic Regression | Lambda = 2.15e-03 | Normalized | PCA = 6 | ActDCF = 0.377 | MinDCF = 0.369
0.5 | 0.1 | Quadratic Regression | Lambda = 1.29e-02 | Raw | PCA = 5 | ActDCF = 1.95 | MinDCF = 0.88
0.5 | 0.5 | Quadratic Regression | Lambda = 1.29e-02 | Raw | PCA = 5 | ActDCF = 0.26 | MinDCF = 0.252
0.5 | 0.1 | Quadratic Regression | Lambda = 1.29e-02 | Normalized | PCA = 5 | ActDCF = 2.503 | MinDCF = 0.991
0.5 | 0.5 | Quadratic Regression | Lambda = 1.29e-02 | Normalized | PCA = 5 | ActDCF = 0.385 | MinDCF = 0.371
0.5 | 0.1 | Quadratic Regression | Lambda = 1.29e-02 | Raw | PCA = 6 | ActDCF = 0.932 | MinDCF = 0.546
0.5 | 0.5 | Quadratic Regression | Lambda = 1.29e-02 | Raw | PCA = 6 | ActDCF = 0.135 | MinDCF = 0.128
0.5 | 0.1 | Quadratic Regression | Lambda = 1.29e-02 | Normalized | PCA = 6 | ActDCF = 2.508 | MinDCF = 0.991
0.5 | 0.5 | Quadratic Regression | Lambda = 1.29e-02 | Normalized | PCA = 6 | ActDCF = 0.385 | MinDCF = 0.371
0.5 | 0.1 | Quadratic Regression | Lambda = 7.74e-02 | Raw | PCA = 5 | ActDCF = 1.95 | MinDCF = 0.878
0.5 | 0.5 | Quadratic Regression | Lambda = 7.74e-02 | Raw | PCA = 5 | ActDCF = 0.26 | MinDCF = 0.252
0.5 | 0.1 | Quadratic Regression | Lambda = 7.74e-02 | Normalized | PCA = 5 | ActDCF = 2.68 | MinDCF = 0.992
0.5 | 0.5 | Quadratic Regression | Lambda = 7.74e-02 | Normalized | PCA = 5 | ActDCF = 0.382 | MinDCF = 0.378
0.5 | 0.1 | Quadratic Regression | Lambda = 7.74e-02 | Raw | PCA = 6 | ActDCF = 0.932 | MinDCF = 0.546
0.5 | 0.5 | Quadratic Regression | Lambda = 7.74e-02 | Raw | PCA = 6 | ActDCF = 0.135 | MinDCF = 0.128
0.5 | 0.1 | Quadratic Regression | Lambda = 7.74e-02 | Normalized | PCA = 6 | ActDCF = 2.674 | MinDCF = 0.992
0.5 | 0.5 | Quadratic Regression | Lambda = 7.74e-02 | Normalized | PCA = 6 | ActDCF = 0.38 | MinDCF = 0.377
0.5 | 0.1 | Quadratic Regression | Lambda = 4.64e-01 | Raw | PCA = 5 | ActDCF = 1.957 | MinDCF = 0.88
0.5 | 0.5 | Quadratic Regression | Lambda = 4.64e-01 | Raw | PCA = 5 | ActDCF = 0.261 | MinDCF = 0.252
0.5 | 0.1 | Quadratic Regression | Lambda = 4.64e-01 | Normalized | PCA = 5 | ActDCF = 3.013 | MinDCF = 0.992
0.5 | 0.5 | Quadratic Regression | Lambda = 4.64e-01 | Normalized | PCA = 5 | ActDCF = 0.397 | MinDCF = 0.388
0.5 | 0.1 | Quadratic Regression | Lambda = 4.64e-01 | Raw | PCA = 6 | ActDCF = 0.934 | MinDCF = 0.546
0.5 | 0.5 | Quadratic Regression | Lambda = 4.64e-01 | Raw | PCA = 6 | ActDCF = 0.133 | MinDCF = 0.128
0.5 | 0.1 | Quadratic Regression | Lambda = 4.64e-01 | Normalized | PCA = 6 | ActDCF = 2.988 | MinDCF = 0.994
0.5 | 0.5 | Quadratic Regression | Lambda = 4.64e-01 | Normalized | PCA = 6 | ActDCF = 0.394 | MinDCF = 0.388
0.5 | 0.1 | Quadratic Regression | Lambda = 2.78e+00 | Raw | PCA = 5 | ActDCF = 1.992 | MinDCF = 0.881
0.5 | 0.5 | Quadratic Regression | Lambda = 2.78e+00 | Raw | PCA = 5 | ActDCF = 0.265 | MinDCF = 0.251
0.5 | 0.1 | Quadratic Regression | Lambda = 2.78e+00 | Normalized | PCA = 5 | ActDCF = 3.266 | MinDCF = 0.996
0.5 | 0.5 | Quadratic Regression | Lambda = 2.78e+00 | Normalized | PCA = 5 | ActDCF = 0.406 | MinDCF = 0.393
0.5 | 0.1 | Quadratic Regression | Lambda = 2.78e+00 | Raw | PCA = 6 | ActDCF = 0.96 | MinDCF = 0.546
0.5 | 0.5 | Quadratic Regression | Lambda = 2.78e+00 | Raw | PCA = 6 | ActDCF = 0.13 | MinDCF = 0.129
0.5 | 0.1 | Quadratic Regression | Lambda = 2.78e+00 | Normalized | PCA = 6 | ActDCF = 3.264 | MinDCF = 0.997
0.5 | 0.5 | Quadratic Regression | Lambda = 2.78e+00 | Normalized | PCA = 6 | ActDCF = 0.406 | MinDCF = 0.391
0.5 | 0.1 | Quadratic Regression | Lambda = 1.67e+01 | Raw | PCA = 5 | ActDCF = 2.152 | MinDCF = 0.877
0.5 | 0.5 | Quadratic Regression | Lambda = 1.67e+01 | Raw | PCA = 5 | ActDCF = 0.276 | MinDCF = 0.252
0.5 | 0.1 | Quadratic Regression | Lambda = 1.67e+01 | Normalized | PCA = 5 | ActDCF = 3.361 | MinDCF = 0.997
0.5 | 0.5 | Quadratic Regression | Lambda = 1.67e+01 | Normalized | PCA = 5 | ActDCF = 0.417 | MinDCF = 0.397
0.5 | 0.1 | Quadratic Regression | Lambda = 1.67e+01 | Raw | PCA = 6 | ActDCF = 1.092 | MinDCF = 0.559
0.5 | 0.5 | Quadratic Regression | Lambda = 1.67e+01 | Raw | PCA = 6 | ActDCF = 0.132 | MinDCF = 0.129
0.5 | 0.1 | Quadratic Regression | Lambda = 1.67e+01 | Normalized | PCA = 6 | ActDCF = 3.361 | MinDCF = 0.997
0.5 | 0.5 | Quadratic Regression | Lambda = 1.67e+01 | Normalized | PCA = 6 | ActDCF = 0.417 | MinDCF = 0.397
0.5 | 0.1 | Quadratic Regression | Lambda = 1.00e+02 | Raw | PCA = 5 | ActDCF = 2.542 | MinDCF = 0.882
0.5 | 0.5 | Quadratic Regression | Lambda = 1.00e+02 | Raw | PCA = 5 | ActDCF = 0.297 | MinDCF = 0.254
0.5 | 0.1 | Quadratic Regression | Lambda = 1.00e+02 | Normalized | PCA = 5 | ActDCF = 3.37 | MinDCF = 0.997
0.5 | 0.5 | Quadratic Regression | Lambda = 1.00e+02 | Normalized | PCA = 5 | ActDCF = 0.417 | MinDCF = 0.399
0.5 | 0.1 | Quadratic Regression | Lambda = 1.00e+02 | Raw | PCA = 6 | ActDCF = 1.389 | MinDCF = 0.572
0.5 | 0.5 | Quadratic Regression | Lambda = 1.00e+02 | Raw | PCA = 6 | ActDCF = 0.159 | MinDCF = 0.13
0.5 | 0.1 | Quadratic Regression | Lambda = 1.00e+02 | Normalized | PCA = 6 | ActDCF = 3.358 | MinDCF = 0.997
0.5 | 0.5 | Quadratic Regression | Lambda = 1.00e+02 | Normalized | PCA = 6 | ActDCF = 0.416 | MinDCF = 0.398
