0.5 | 0.1 | Linear Regression | Lambda = 1.00e-05 | Raw | Uncalibrated | PCA = 6| ActDCF = 3.78 | MinDCF = 1.0
0.5 | 0.5 | Linear Regression | Lambda = 1.00e-05 | Raw | Uncalibrated | PCA = 6| ActDCF = 0.576 | MinDCF = 0.5
0.5 | 0.1 | Linear Regression | Lambda = 1.00e-05 | Normalized | Uncalibrated | PCA = 6| ActDCF = 2.723 | MinDCF = 1.0
0.5 | 0.5 | Linear Regression | Lambda = 1.00e-05 | Normalized | Uncalibrated | PCA = 6| ActDCF = 0.794 | MinDCF = 0.717
0.5 | 0.1 | Linear Regression | Lambda = 5.99e-05 | Raw | Uncalibrated | PCA = 6| ActDCF = 3.78 | MinDCF = 1.0
0.5 | 0.5 | Linear Regression | Lambda = 5.99e-05 | Raw | Uncalibrated | PCA = 6| ActDCF = 0.576 | MinDCF = 0.5
0.5 | 0.1 | Linear Regression | Lambda = 5.99e-05 | Normalized | Uncalibrated | PCA = 6| ActDCF = 2.723 | MinDCF = 1.0
0.5 | 0.5 | Linear Regression | Lambda = 5.99e-05 | Normalized | Uncalibrated | PCA = 6| ActDCF = 0.794 | MinDCF = 0.717
0.5 | 0.1 | Linear Regression | Lambda = 3.59e-04 | Raw | Uncalibrated | PCA = 6| ActDCF = 3.78 | MinDCF = 1.0
0.5 | 0.5 | Linear Regression | Lambda = 3.59e-04 | Raw | Uncalibrated | PCA = 6| ActDCF = 0.576 | MinDCF = 0.5
0.5 | 0.1 | Linear Regression | Lambda = 3.59e-04 | Normalized | Uncalibrated | PCA = 6| ActDCF = 2.727 | MinDCF = 1.0
0.5 | 0.5 | Linear Regression | Lambda = 3.59e-04 | Normalized | Uncalibrated | PCA = 6| ActDCF = 0.794 | MinDCF = 0.717
0.5 | 0.1 | Linear Regression | Lambda = 2.15e-03 | Raw | Uncalibrated | PCA = 6| ActDCF = 3.78 | MinDCF = 1.0
0.5 | 0.5 | Linear Regression | Lambda = 2.15e-03 | Raw | Uncalibrated | PCA = 6| ActDCF = 0.576 | MinDCF = 0.5
0.5 | 0.1 | Linear Regression | Lambda = 2.15e-03 | Normalized | Uncalibrated | PCA = 6| ActDCF = 2.724 | MinDCF = 1.0
0.5 | 0.5 | Linear Regression | Lambda = 2.15e-03 | Normalized | Uncalibrated | PCA = 6| ActDCF = 0.787 | MinDCF = 0.712
0.5 | 0.1 | Linear Regression | Lambda = 1.29e-02 | Raw | Uncalibrated | PCA = 6| ActDCF = 3.777 | MinDCF = 1.0
0.5 | 0.5 | Linear Regression | Lambda = 1.29e-02 | Raw | Uncalibrated | PCA = 6| ActDCF = 0.573 | MinDCF = 0.5
0.5 | 0.1 | Linear Regression | Lambda = 1.29e-02 | Normalized | Uncalibrated | PCA = 6| ActDCF = 2.786 | MinDCF = 1.0
