0.5 | 0.1 | Quadratic Regression | Lambda = 1.00e-05 | Raw | PCA = 6 | ActDCF = 0.798 | MinDCF = 0.494
0.5 | 0.5 | Quadratic Regression | Lambda = 1.00e-05 | Raw | PCA = 6 | ActDCF = 0.12 | MinDCF = 0.112
0.5 | 0.1 | Quadratic Regression | Lambda = 1.00e-05 | Normalized | PCA = 6 | ActDCF = 0.99 | MinDCF = 0.916
0.5 | 0.5 | Quadratic Regression | Lambda = 1.00e-05 | Normalized | PCA = 6 | ActDCF = 0.941 | MinDCF = 0.396
0.5 | 0.1 | Quadratic Regression | Lambda = 5.99e-05 | Raw | PCA = 6 | ActDCF = 0.798 | MinDCF = 0.494
0.5 | 0.5 | Quadratic Regression | Lambda = 5.99e-05 | Raw | PCA = 6 | ActDCF = 0.12 | MinDCF = 0.112
0.5 | 0.1 | Quadratic Regression | Lambda = 5.99e-05 | Normalized | PCA = 6 | ActDCF = 0.99 | MinDCF = 0.916
0.5 | 0.5 | Quadratic Regression | Lambda = 5.99e-05 | Normalized | PCA = 6 | ActDCF = 0.941 | MinDCF = 0.396
0.5 | 0.1 | Quadratic Regression | Lambda = 3.59e-04 | Raw | PCA = 6 | ActDCF = 0.798 | MinDCF = 0.494
0.5 | 0.5 | Quadratic Regression | Lambda = 3.59e-04 | Raw | PCA = 6 | ActDCF = 0.12 | MinDCF = 0.112
0.5 | 0.1 | Quadratic Regression | Lambda = 3.59e-04 | Normalized | PCA = 6 | ActDCF = 0.99 | MinDCF = 0.916
0.5 | 0.5 | Quadratic Regression | Lambda = 3.59e-04 | Normalized | PCA = 6 | ActDCF = 0.941 | MinDCF = 0.396
0.5 | 0.1 | Quadratic Regression | Lambda = 2.15e-03 | Raw | PCA = 6 | ActDCF = 0.798 | MinDCF = 0.494
0.5 | 0.5 | Quadratic Regression | Lambda = 2.15e-03 | Raw | PCA = 6 | ActDCF = 0.12 | MinDCF = 0.112
0.5 | 0.1 | Quadratic Regression | Lambda = 2.15e-03 | Normalized | PCA = 6 | ActDCF = 0.99 | MinDCF = 0.914
0.5 | 0.5 | Quadratic Regression | Lambda = 2.15e-03 | Normalized | PCA = 6 | ActDCF = 0.941 | MinDCF = 0.398
0.5 | 0.1 | Quadratic Regression | Lambda = 1.29e-02 | Raw | PCA = 6 | ActDCF = 0.803 | MinDCF = 0.494
0.5 | 0.5 | Quadratic Regression | Lambda = 1.29e-02 | Raw | PCA = 6 | ActDCF = 0.12 | MinDCF = 0.112
0.5 | 0.1 | Quadratic Regression | Lambda = 1.29e-02 | Normalized | PCA = 6 | ActDCF = 0.99 | MinDCF = 0.889
0.5 | 0.5 | Quadratic Regression | Lambda = 1.29e-02 | Normalized | PCA = 6 | ActDCF = 0.941 | MinDCF = 0.39
0.5 | 0.1 | Quadratic Regression | Lambda = 7.74e-02 | Raw | PCA = 6 | ActDCF = 0.807 | MinDCF = 0.494
0.5 | 0.5 | Quadratic Regression | Lambda = 7.74e-02 | Raw | PCA = 6 | ActDCF = 0.121 | MinDCF = 0.112
0.5 | 0.1 | Quadratic Regression | Lambda = 7.74e-02 | Normalized | PCA = 6 | ActDCF = 0.981 | MinDCF = 0.871
0.5 | 0.5 | Quadratic Regression | Lambda = 7.74e-02 | Normalized | PCA = 6 | ActDCF = 0.94 | MinDCF = 0.379
0.5 | 0.1 | Quadratic Regression | Lambda = 4.64e-01 | Raw | PCA = 6 | ActDCF = 0.812 | MinDCF = 0.492
0.5 | 0.5 | Quadratic Regression | Lambda = 4.64e-01 | Raw | PCA = 6 | ActDCF = 0.121 | MinDCF = 0.112
0.5 | 0.1 | Quadratic Regression | Lambda = 4.64e-01 | Normalized | PCA = 6 | ActDCF = 0.968 | MinDCF = 0.861
0.5 | 0.5 | Quadratic Regression | Lambda = 4.64e-01 | Normalized | PCA = 6 | ActDCF = 0.928 | MinDCF = 0.367
0.5 | 0.1 | Quadratic Regression | Lambda = 2.78e+00 | Raw | PCA = 6 | ActDCF = 0.829 | MinDCF = 0.49
0.5 | 0.5 | Quadratic Regression | Lambda = 2.78e+00 | Raw | PCA = 6 | ActDCF = 0.119 | MinDCF = 0.112
0.5 | 0.1 | Quadratic Regression | Lambda = 2.78e+00 | Normalized | PCA = 6 | ActDCF = 0.955 | MinDCF = 0.858
0.5 | 0.5 | Quadratic Regression | Lambda = 2.78e+00 | Normalized | PCA = 6 | ActDCF = 0.906 | MinDCF = 0.366
0.5 | 0.1 | Quadratic Regression | Lambda = 1.67e+01 | Raw | PCA = 6 | ActDCF = 0.959 | MinDCF = 0.483
0.5 | 0.5 | Quadratic Regression | Lambda = 1.67e+01 | Raw | PCA = 6 | ActDCF = 0.127 | MinDCF = 0.108
0.5 | 0.1 | Quadratic Regression | Lambda = 1.67e+01 | Normalized | PCA = 6 | ActDCF = 0.95 | MinDCF = 0.855
0.5 | 0.5 | Quadratic Regression | Lambda = 1.67e+01 | Normalized | PCA = 6 | ActDCF = 0.901 | MinDCF = 0.367
0.5 | 0.1 | Quadratic Regression | Lambda = 1.00e+02 | Raw | PCA = 6 | ActDCF = 1.314 | MinDCF = 0.504
0.5 | 0.5 | Quadratic Regression | Lambda = 1.00e+02 | Raw | PCA = 6 | ActDCF = 0.148 | MinDCF = 0.117
0.5 | 0.1 | Quadratic Regression | Lambda = 1.00e+02 | Normalized | PCA = 6 | ActDCF = 0.95 | MinDCF = 0.85
0.5 | 0.5 | Quadratic Regression | Lambda = 1.00e+02 | Normalized | PCA = 6 | ActDCF = 0.901 | MinDCF = 0.365
