0.1 | 0.1 | Linear Regression | Lambda = 1.00e-05 | Raw | Uncalibrated | PCA = 6| ActDCF = 1.0 | MinDCF = 1.0
0.1 | 0.5 | Linear Regression | Lambda = 1.00e-05 | Raw | Uncalibrated | PCA = 6| ActDCF = 1.0 | MinDCF = 0.523
0.1 | 0.1 | Linear Regression | Lambda = 1.00e-05 | Normalized | Uncalibrated | PCA = 6| ActDCF = 1.3 | MinDCF = 1.0
0.1 | 0.5 | Linear Regression | Lambda = 1.00e-05 | Normalized | Uncalibrated | PCA = 6| ActDCF = 0.951 | MinDCF = 0.741
0.1 | 0.1 | Linear Regression | Lambda = 5.99e-05 | Raw | Uncalibrated | PCA = 6| ActDCF = 1.0 | MinDCF = 1.0
0.1 | 0.5 | Linear Regression | Lambda = 5.99e-05 | Raw | Uncalibrated | PCA = 6| ActDCF = 1.0 | MinDCF = 0.523
0.1 | 0.1 | Linear Regression | Lambda = 5.99e-05 | Normalized | Uncalibrated | PCA = 6| ActDCF = 1.3 | MinDCF = 1.0
0.1 | 0.5 | Linear Regression | Lambda = 5.99e-05 | Normalized | Uncalibrated | PCA = 6| ActDCF = 0.951 | MinDCF = 0.741
0.1 | 0.1 | Linear Regression | Lambda = 3.59e-04 | Raw | Uncalibrated | PCA = 6| ActDCF = 1.0 | MinDCF = 1.0
0.1 | 0.5 | Linear Regression | Lambda = 3.59e-04 | Raw | Uncalibrated | PCA = 6| ActDCF = 1.0 | MinDCF = 0.523
0.1 | 0.1 | Linear Regression | Lambda = 3.59e-04 | Normalized | Uncalibrated | PCA = 6| ActDCF = 1.294 | MinDCF = 1.0
0.1 | 0.5 | Linear Regression | Lambda = 3.59e-04 | Normalized | Uncalibrated | PCA = 6| ActDCF = 0.953 | MinDCF = 0.74
0.1 | 0.1 | Linear Regression | Lambda = 2.15e-03 | Raw | Uncalibrated | PCA = 6| ActDCF = 1.0 | MinDCF = 1.0
0.1 | 0.5 | Linear Regression | Lambda = 2.15e-03 | Raw | Uncalibrated | PCA = 6| ActDCF = 1.0 | MinDCF = 0.523
0.1 | 0.1 | Linear Regression | Lambda = 2.15e-03 | Normalized | Uncalibrated | PCA = 6| ActDCF = 1.29 | MinDCF = 1.0
0.1 | 0.5 | Linear Regression | Lambda = 2.15e-03 | Normalized | Uncalibrated | PCA = 6| ActDCF = 0.961 | MinDCF = 0.734
0.1 | 0.1 | Linear Regression | Lambda = 1.29e-02 | Raw | Uncalibrated | PCA = 6| ActDCF = 1.0 | MinDCF = 1.0
0.1 | 0.5 | Linear Regression | Lambda = 1.29e-02 | Raw | Uncalibrated | PCA = 6| ActDCF = 1.0 | MinDCF = 0.523
0.1 | 0.1 | Linear Regression | Lambda = 1.29e-02 | Normalized | Uncalibrated | PCA = 6| ActDCF = 1.249 | MinDCF = 1.0
0.1 | 0.5 | Linear Regression | Lambda = 1.29e-02 | Normalized | Uncalibrated | PCA = 6| ActDCF = 1.001 | MinDCF = 0.713
