0.1 | 0.1 | Quadratic Regression | Lambda = 1.00e-05 | Raw | PCA = 6 | ActDCF = 0.491 | MinDCF = 0.474
0.1 | 0.5 | Quadratic Regression | Lambda = 1.00e-05 | Raw | PCA = 6 | ActDCF = 0.239 | MinDCF = 0.111
0.1 | 0.1 | Quadratic Regression | Lambda = 1.00e-05 | Normalized | PCA = 6 | ActDCF = 1.019 | MinDCF = 0.958
0.1 | 0.5 | Quadratic Regression | Lambda = 1.00e-05 | Normalized | PCA = 6 | ActDCF = 0.991 | MinDCF = 0.404
0.1 | 0.1 | Quadratic Regression | Lambda = 5.99e-05 | Raw | PCA = 6 | ActDCF = 0.491 | MinDCF = 0.474
0.1 | 0.5 | Quadratic Regression | Lambda = 5.99e-05 | Raw | PCA = 6 | ActDCF = 0.239 | MinDCF = 0.111
0.1 | 0.1 | Quadratic Regression | Lambda = 5.99e-05 | Normalized | PCA = 6 | ActDCF = 1.019 | MinDCF = 0.958
0.1 | 0.5 | Quadratic Regression | Lambda = 5.99e-05 | Normalized | PCA = 6 | ActDCF = 0.991 | MinDCF = 0.404
0.1 | 0.1 | Quadratic Regression | Lambda = 3.59e-04 | Raw | PCA = 6 | ActDCF = 0.491 | MinDCF = 0.474
0.1 | 0.5 | Quadratic Regression | Lambda = 3.59e-04 | Raw | PCA = 6 | ActDCF = 0.239 | MinDCF = 0.111
0.1 | 0.1 | Quadratic Regression | Lambda = 3.59e-04 | Normalized | PCA = 6 | ActDCF = 1.019 | MinDCF = 0.956
0.1 | 0.5 | Quadratic Regression | Lambda = 3.59e-04 | Normalized | PCA = 6 | ActDCF = 0.991 | MinDCF = 0.404
0.1 | 0.1 | Quadratic Regression | Lambda = 2.15e-03 | Raw | PCA = 6 | ActDCF = 0.491 | MinDCF = 0.474
0.1 | 0.5 | Quadratic Regression | Lambda = 2.15e-03 | Raw | PCA = 6 | ActDCF = 0.239 | MinDCF = 0.111
0.1 | 0.1 | Quadratic Regression | Lambda = 2.15e-03 | Normalized | PCA = 6 | ActDCF = 1.022 | MinDCF = 0.939
0.1 | 0.5 | Quadratic Regression | Lambda = 2.15e-03 | Normalized | PCA = 6 | ActDCF = 0.994 | MinDCF = 0.396
0.1 | 0.1 | Quadratic Regression | Lambda = 1.29e-02 | Raw | PCA = 6 | ActDCF = 0.491 | MinDCF = 0.474
0.1 | 0.5 | Quadratic Regression | Lambda = 1.29e-02 | Raw | PCA = 6 | ActDCF = 0.239 | MinDCF = 0.111
0.1 | 0.1 | Quadratic Regression | Lambda = 1.29e-02 | Normalized | PCA = 6 | ActDCF = 1.013 | MinDCF = 0.912
0.1 | 0.5 | Quadratic Regression | Lambda = 1.29e-02 | Normalized | PCA = 6 | ActDCF = 0.997 | MinDCF = 0.385
0.1 | 0.1 | Quadratic Regression | Lambda = 7.74e-02 | Raw | PCA = 6 | ActDCF = 0.491 | MinDCF = 0.474
0.1 | 0.5 | Quadratic Regression | Lambda = 7.74e-02 | Raw | PCA = 6 | ActDCF = 0.239 | MinDCF = 0.111
0.1 | 0.1 | Quadratic Regression | Lambda = 7.74e-02 | Normalized | PCA = 6 | ActDCF = 1.0 | MinDCF = 0.872
0.1 | 0.5 | Quadratic Regression | Lambda = 7.74e-02 | Normalized | PCA = 6 | ActDCF = 1.0 | MinDCF = 0.37
0.1 | 0.1 | Quadratic Regression | Lambda = 4.64e-01 | Raw | PCA = 6 | ActDCF = 0.491 | MinDCF = 0.474
0.1 | 0.5 | Quadratic Regression | Lambda = 4.64e-01 | Raw | PCA = 6 | ActDCF = 0.239 | MinDCF = 0.112
0.1 | 0.1 | Quadratic Regression | Lambda = 4.64e-01 | Normalized | PCA = 6 | ActDCF = 1.0 | MinDCF = 0.856
0.1 | 0.5 | Quadratic Regression | Lambda = 4.64e-01 | Normalized | PCA = 6 | ActDCF = 1.0 | MinDCF = 0.366
0.1 | 0.1 | Quadratic Regression | Lambda = 2.78e+00 | Raw | PCA = 6 | ActDCF = 0.486 | MinDCF = 0.472
0.1 | 0.5 | Quadratic Regression | Lambda = 2.78e+00 | Raw | PCA = 6 | ActDCF = 0.238 | MinDCF = 0.109
0.1 | 0.1 | Quadratic Regression | Lambda = 2.78e+00 | Normalized | PCA = 6 | ActDCF = 1.0 | MinDCF = 0.853
0.1 | 0.5 | Quadratic Regression | Lambda = 2.78e+00 | Normalized | PCA = 6 | ActDCF = 1.0 | MinDCF = 0.366
0.1 | 0.1 | Quadratic Regression | Lambda = 1.67e+01 | Raw | PCA = 6 | ActDCF = 0.491 | MinDCF = 0.475
0.1 | 0.5 | Quadratic Regression | Lambda = 1.67e+01 | Raw | PCA = 6 | ActDCF = 0.288 | MinDCF = 0.108
0.1 | 0.1 | Quadratic Regression | Lambda = 1.67e+01 | Normalized | PCA = 6 | ActDCF = 1.0 | MinDCF = 0.852
0.1 | 0.5 | Quadratic Regression | Lambda = 1.67e+01 | Normalized | PCA = 6 | ActDCF = 1.0 | MinDCF = 0.365
0.1 | 0.1 | Quadratic Regression | Lambda = 1.00e+02 | Raw | PCA = 6 | ActDCF = 0.944 | MinDCF = 0.502
0.1 | 0.5 | Quadratic Regression | Lambda = 1.00e+02 | Raw | PCA = 6 | ActDCF = 0.936 | MinDCF = 0.117
0.1 | 0.1 | Quadratic Regression | Lambda = 1.00e+02 | Normalized | PCA = 6 | ActDCF = 1.0 | MinDCF = 0.85
0.1 | 0.5 | Quadratic Regression | Lambda = 1.00e+02 | Normalized | PCA = 6 | ActDCF = 1.0 | MinDCF = 0.365
