0.1 | 0.1 | SVM RBF | K = 0.0 | C = 0.01 | gamma = 0.001 | Raw | Uncalibrated | PCA = 5 | ActDCF = 1.0 | MinDCF = 1.0
0.1 | 0.1 | SVM RBF | K = 0.0 | C = 0.01 | gamma = 0.001 | Raw | Calibrated | PCA = 5 | ActDCF = 1.994 | MinDCF = 0.902
0.1 | 0.5 | SVM RBF | K = 0.0 | C = 0.01 | gamma = 0.001 | Raw | Uncalibrated | PCA = 5 | ActDCF = 1.0 | MinDCF = 1.0
0.1 | 0.5 | SVM RBF | K = 0.0 | C = 0.01 | gamma = 0.001 | Raw | Calibrated | PCA = 5 | ActDCF = 0.248 | MinDCF = 0.224
0.1 | 0.1 | SVM RBF | K = 0.0 | C = 0.01 | gamma = 0.001 | Normalized | Uncalibrated | PCA = 5 | ActDCF = 1.0 | MinDCF = 1.0
0.1 | 0.1 | SVM RBF | K = 0.0 | C = 0.01 | gamma = 0.001 | Normalized | Calibrated | PCA = 5 | ActDCF = 3.491 | MinDCF = 0.691
0.1 | 0.5 | SVM RBF | K = 0.0 | C = 0.01 | gamma = 0.001 | Normalized | Uncalibrated | PCA = 5 | ActDCF = 1.0 | MinDCF = 1.0
0.1 | 0.5 | SVM RBF | K = 0.0 | C = 0.01 | gamma = 0.001 | Normalized | Calibrated | PCA = 5 | ActDCF = 0.417 | MinDCF = 0.291
0.1 | 0.1 | SVM RBF | K = 0.0 | C = 0.01 | gamma = 0.001 | Raw | Uncalibrated | PCA = 6 | ActDCF = 1.0 | MinDCF = 1.0
0.1 | 0.1 | SVM RBF | K = 0.0 | C = 0.01 | gamma = 0.001 | Raw | Calibrated | PCA = 6 | ActDCF = 2.045 | MinDCF = 0.872
0.1 | 0.5 | SVM RBF | K = 0.0 | C = 0.01 | gamma = 0.001 | Raw | Uncalibrated | PCA = 6 | ActDCF = 1.0 | MinDCF = 1.0
0.1 | 0.5 | SVM RBF | K = 0.0 | C = 0.01 | gamma = 0.001 | Raw | Calibrated | PCA = 6 | ActDCF = 0.258 | MinDCF = 0.236
0.1 | 0.1 | SVM RBF | K = 0.0 | C = 0.01 | gamma = 0.001 | Normalized | Uncalibrated | PCA = 6 | ActDCF = 1.0 | MinDCF = 1.0
0.1 | 0.1 | SVM RBF | K = 0.0 | C = 0.01 | gamma = 0.001 | Normalized | Calibrated | PCA = 6 | ActDCF = 4.224 | MinDCF = 0.729
0.1 | 0.5 | SVM RBF | K = 0.0 | C = 0.01 | gamma = 0.001 | Normalized | Uncalibrated | PCA = 6 | ActDCF = 1.0 | MinDCF = 1.0
0.1 | 0.5 | SVM RBF | K = 0.0 | C = 0.01 | gamma = 0.001 | Normalized | Calibrated | PCA = 6 | ActDCF = 0.5 | MinDCF = 0.349
0.1 | 0.1 | SVM RBF | K = 0.0 | C = 0.01 | gamma = 0.01 | Raw | Uncalibrated | PCA = 5 | ActDCF = 1.0 | MinDCF = 1.0
0.1 | 0.1 | SVM RBF | K = 0.0 | C = 0.01 | gamma = 0.01 | Raw | Calibrated | PCA = 5 | ActDCF = 4.959 | MinDCF = 1.0
0.1 | 0.5 | SVM RBF | K = 0.0 | C = 0.01 | gamma = 0.01 | Raw | Uncalibrated | PCA = 5 | ActDCF = 1.0 | MinDCF = 0.995
0.1 | 0.5 | SVM RBF | K = 0.0 | C = 0.01 | gamma = 0.01 | Raw | Calibrated | PCA = 5 | ActDCF = 0.618 | MinDCF = 0.566
0.1 | 0.1 | SVM RBF | K = 0.0 | C = 0.01 | gamma = 0.01 | Normalized | Uncalibrated | PCA = 5 | ActDCF = 1.0 | MinDCF = 1.0
