0.1 | GMM Full | nComponents = 1 | Raw | Uncalibrated | PCA = 5 | ActDCF = 0.965 | MinDCF = 0.458
0.1 | GMM Full | nComponents = 1 | Raw | Calibrated | PCA = 5 | ActDCF = 1.08 | MinDCF = 0.467
0.5 | GMM Full | nComponents = 1 | Raw | Uncalibrated | PCA = 5 | ActDCF = 0.141 | MinDCF = 0.127
0.5 | GMM Full | nComponents = 1 | Raw | Calibrated | PCA = 5 | ActDCF = 0.178 | MinDCF = 0.127
0.1 | GMM Full | nComponents = 1 | Normalized | Uncalibrated | PCA = 5 | ActDCF = 1.0 | MinDCF = 0.696
0.1 | GMM Full | nComponents = 1 | Normalized | Calibrated | PCA = 5 | ActDCF = 2.148 | MinDCF = 0.693
0.5 | GMM Full | nComponents = 1 | Normalized | Uncalibrated | PCA = 5 | ActDCF = 1.0 | MinDCF = 0.297
0.5 | GMM Full | nComponents = 1 | Normalized | Calibrated | PCA = 5 | ActDCF = 0.422 | MinDCF = 0.301
0.1 | GMM Full | nComponents = 2 | Raw | Uncalibrated | PCA = 5 | ActDCF = 0.742 | MinDCF = 0.492
0.1 | GMM Full | nComponents = 2 | Raw | Calibrated | PCA = 5 | ActDCF = 1.009 | MinDCF = 0.506
0.5 | GMM Full | nComponents = 2 | Raw | Uncalibrated | PCA = 5 | ActDCF = 0.125 | MinDCF = 0.123
0.5 | GMM Full | nComponents = 2 | Raw | Calibrated | PCA = 5 | ActDCF = 0.204 | MinDCF = 0.123
0.1 | GMM Full | nComponents = 2 | Normalized | Uncalibrated | PCA = 5 | ActDCF = 1.0 | MinDCF = 0.779
0.1 | GMM Full | nComponents = 2 | Normalized | Calibrated | PCA = 5 | ActDCF = 2.439 | MinDCF = 0.789
0.5 | GMM Full | nComponents = 2 | Normalized | Uncalibrated | PCA = 5 | ActDCF = 1.0 | MinDCF = 0.338
0.5 | GMM Full | nComponents = 2 | Normalized | Calibrated | PCA = 5 | ActDCF = 0.507 | MinDCF = 0.341
0.1 | GMM Full | nComponents = 4 | Raw | Uncalibrated | PCA = 5 | ActDCF = 0.702 | MinDCF = 0.536
0.1 | GMM Full | nComponents = 4 | Raw | Calibrated | PCA = 5 | ActDCF = 1.135 | MinDCF = 0.529
