0.1 | GMM Tied | nComponents = 1 | Raw | Uncalibrated | PCA = 5 | ActDCF = 0.965 | MinDCF = 0.458
0.1 | GMM Tied | nComponents = 1 | Raw | Calibrated | PCA = 5 | ActDCF = 1.08 | MinDCF = 0.467
0.5 | GMM Tied | nComponents = 1 | Raw | Uncalibrated | PCA = 5 | ActDCF = 0.141 | MinDCF = 0.127
0.5 | GMM Tied | nComponents = 1 | Raw | Calibrated | PCA = 5 | ActDCF = 0.178 | MinDCF = 0.127
0.1 | GMM Tied | nComponents = 1 | Normalized | Uncalibrated | PCA = 5 | ActDCF = 1.0 | MinDCF = 0.696
0.1 | GMM Tied | nComponents = 1 | Normalized | Calibrated | PCA = 5 | ActDCF = 2.148 | MinDCF = 0.693
0.5 | GMM Tied | nComponents = 1 | Normalized | Uncalibrated | PCA = 5 | ActDCF = 1.0 | MinDCF = 0.297
0.5 | GMM Tied | nComponents = 1 | Normalized | Calibrated | PCA = 5 | ActDCF = 0.422 | MinDCF = 0.301
0.1 | GMM Tied | nComponents = 2 | Raw | Uncalibrated | PCA = 5 | ActDCF = 0.969 | MinDCF = 0.461
0.1 | GMM Tied | nComponents = 2 | Raw | Calibrated | PCA = 5 | ActDCF = 1.078 | MinDCF = 0.469
0.5 | GMM Tied | nComponents = 2 | Raw | Uncalibrated | PCA = 5 | ActDCF = 0.141 | MinDCF = 0.127
0.5 | GMM Tied | nComponents = 2 | Raw | Calibrated | PCA = 5 | ActDCF = 0.178 | MinDCF = 0.127
0.1 | GMM Tied | nComponents = 2 | Normalized | Uncalibrated | PCA = 5 | ActDCF = 1.0 | MinDCF = 0.696
0.1 | GMM Tied | nComponents = 2 | Normalized | Calibrated | PCA = 5 | ActDCF = 2.152 | MinDCF = 0.693
0.5 | GMM Tied | nComponents = 2 | Normalized | Uncalibrated | PCA = 5 | ActDCF = 1.0 | MinDCF = 0.297
0.5 | GMM Tied | nComponents = 2 | Normalized | Calibrated | PCA = 5 | ActDCF = 0.425 | MinDCF = 0.301
0.1 | GMM Tied | nComponents = 4 | Raw | Uncalibrated | PCA = 5 | ActDCF = 1.003 | MinDCF = 0.472
0.1 | GMM Tied | nComponents = 4 | Raw | Calibrated | PCA = 5 | ActDCF = 1.082 | MinDCF = 0.471
0.5 | GMM Tied | nComponents = 4 | Raw | Uncalibrated | PCA = 5 | ActDCF = 0.138 | MinDCF = 0.128
0.5 | GMM Tied | nComponents = 4 | Raw | Calibrated | PCA = 5 | ActDCF = 0.181 | MinDCF = 0.129
0.1 | GMM Tied | nComponents = 4 | Normalized | Uncalibrated | PCA = 5 | ActDCF = 1.0 | MinDCF = 0.721
0.1 | GMM Tied | nComponents = 4 | Normalized | Calibrated | PCA = 5 | ActDCF = 2.307 | MinDCF = 0.719
0.5 | GMM Tied | nComponents = 4 | Normalized | Uncalibrated | PCA = 5 | ActDCF = 1.0 | MinDCF = 0.322
0.5 | GMM Tied | nComponents = 4 | Normalized | Calibrated | PCA = 5 | ActDCF = 0.461 | MinDCF = 0.315
0.1 | GMM Tied | nComponents = 8 | Raw | Uncalibrated | PCA = 5 | ActDCF = 1.051 | MinDCF = 0.458
