0.5 | 0.1 | Linear Regression | Lambda = 1.00e-05 | Raw | Uncalibrated | PCA = 5| ActDCF = 3.783 | MinDCF = 1.0
0.5 | 0.5 | Linear Regression | Lambda = 1.00e-05 | Raw | Uncalibrated | PCA = 5| ActDCF = 0.567 | MinDCF = 0.496
0.5 | 0.1 | Linear Regression | Lambda = 1.00e-05 | Normalized | Uncalibrated | PCA = 5| ActDCF = 2.931 | MinDCF = 1.0
0.5 | 0.5 | Linear Regression | Lambda = 1.00e-05 | Normalized | Uncalibrated | PCA = 5| ActDCF = 0.823 | MinDCF = 0.66
0.5 | 0.1 | Linear Regression | Lambda = 5.99e-05 | Raw | Uncalibrated | PCA = 5| ActDCF = 3.783 | MinDCF = 1.0
0.5 | 0.5 | Linear Regression | Lambda = 5.99e-05 | Raw | Uncalibrated | PCA = 5| ActDCF = 0.567 | MinDCF = 0.496
0.5 | 0.1 | Linear Regression | Lambda = 5.99e-05 | Normalized | Uncalibrated | PCA = 5| ActDCF = 2.931 | MinDCF = 1.0
0.5 | 0.5 | Linear Regression | Lambda = 5.99e-05 | Normalized | Uncalibrated | PCA = 5| ActDCF = 0.823 | MinDCF = 0.66
0.5 | 0.1 | Linear Regression | Lambda = 3.59e-04 | Raw | Uncalibrated | PCA = 5| ActDCF = 3.783 | MinDCF = 1.0
0.5 | 0.5 | Linear Regression | Lambda = 3.59e-04 | Raw | Uncalibrated | PCA = 5| ActDCF = 0.567 | MinDCF = 0.496
0.5 | 0.1 | Linear Regression | Lambda = 3.59e-04 | Normalized | Uncalibrated | PCA = 5| ActDCF = 2.931 | MinDCF = 1.0
0.5 | 0.5 | Linear Regression | Lambda = 3.59e-04 | Normalized | Uncalibrated | PCA = 5| ActDCF = 0.823 | MinDCF = 0.66
0.5 | 0.1 | Linear Regression | Lambda = 2.15e-03 | Raw | Uncalibrated | PCA = 5| ActDCF = 3.783 | MinDCF = 1.0
0.5 | 0.5 | Linear Regression | Lambda = 2.15e-03 | Raw | Uncalibrated | PCA = 5| ActDCF = 0.567 | MinDCF = 0.496
0.5 | 0.1 | Linear Regression | Lambda = 2.15e-03 | Normalized | Uncalibrated | PCA = 5| ActDCF = 2.926 | MinDCF = 1.0
0.5 | 0.5 | Linear Regression | Lambda = 2.15e-03 | Normalized | Uncalibrated | PCA = 5| ActDCF = 0.823 | MinDCF = 0.659
0.5 | 0.1 | Linear Regression | Lambda = 1.29e-02 | Raw | Uncalibrated | PCA = 5| ActDCF = 3.783 | MinDCF = 1.0
0.5 | 0.5 | Linear Regression | Lambda = 1.29e-02 | Raw | Uncalibrated | PCA = 5| ActDCF = 0.567 | MinDCF = 0.496
0.5 | 0.1 | Linear Regression | Lambda = 1.29e-02 | Normalized | Uncalibrated | PCA = 5| ActDCF = 2.954 | MinDCF = 1.0
0.5 | 0.5 | Linear Regression | Lambda = 1.29e-02 | Normalized | Uncalibrated | PCA = 5| ActDCF = 0.826 | MinDCF = 0.652
0.5 | 0.1 | Linear Regression | Lambda = 7.74e-02 | Raw | Uncalibrated | PCA = 5| ActDCF = 3.779 | MinDCF = 1.0
0.5 | 0.5 | Linear Regression | Lambda = 7.74e-02 | Raw | Uncalibrated | PCA = 5| ActDCF = 0.567 | MinDCF = 0.496
0.5 | 0.1 | Linear Regression | Lambda = 7.74e-02 | Normalized | Uncalibrated | PCA = 5| ActDCF = 2.998 | MinDCF = 1.0
0.5 | 0.5 | Linear Regression | Lambda = 7.74e-02 | Normalized | Uncalibrated | PCA = 5| ActDCF = 0.833 | MinDCF = 0.623
0.5 | 0.1 | Linear Regression | Lambda = 4.64e-01 | Raw | Uncalibrated | PCA = 5| ActDCF = 3.762 | MinDCF = 1.0
0.5 | 0.5 | Linear Regression | Lambda = 4.64e-01 | Raw | Uncalibrated | PCA = 5| ActDCF = 0.558 | MinDCF = 0.495
0.5 | 0.1 | Linear Regression | Lambda = 4.64e-01 | Normalized | Uncalibrated | PCA = 5| ActDCF = 3.116 | MinDCF = 1.0
0.5 | 0.5 | Linear Regression | Lambda = 4.64e-01 | Normalized | Uncalibrated | PCA = 5| ActDCF = 0.846 | MinDCF = 0.61
0.5 | 0.1 | Linear Regression | Lambda = 2.78e+00 | Raw | Uncalibrated | PCA = 5| ActDCF = 3.771 | MinDCF = 1.0
0.5 | 0.5 | Linear Regression | Lambda = 2.78e+00 | Raw | Uncalibrated | PCA = 5| ActDCF = 0.555 | MinDCF = 0.485
0.5 | 0.1 | Linear Regression | Lambda = 2.78e+00 | Normalized | Uncalibrated | PCA = 5| ActDCF = 3.144 | MinDCF = 1.0
0.5 | 0.5 | Linear Regression | Lambda = 2.78e+00 | Normalized | Uncalibrated | PCA = 5| ActDCF = 0.854 | MinDCF = 0.627
0.5 | 0.1 | Linear Regression | Lambda = 1.67e+01 | Raw | Uncalibrated | PCA = 5| ActDCF = 3.808 | MinDCF = 1.0
0.5 | 0.5 | Linear Regression | Lambda = 1.67e+01 | Raw | Uncalibrated | PCA = 5| ActDCF = 0.539 | MinDCF = 0.485
0.5 | 0.1 | Linear Regression | Lambda = 1.67e+01 | Normalized | Uncalibrated | PCA = 5| ActDCF = 3.16 | MinDCF = 1.0
0.5 | 0.5 | Linear Regression | Lambda = 1.67e+01 | Normalized | Uncalibrated | PCA = 5| ActDCF = 0.853 | MinDCF = 0.628
0.5 | 0.1 | Linear Regression | Lambda = 1.00e+02 | Raw | Uncalibrated | PCA = 5| ActDCF = 3.854 | MinDCF = 1.0
0.5 | 0.5 | Linear Regression | Lambda = 1.00e+02 | Raw | Uncalibrated | PCA = 5| ActDCF = 0.528 | MinDCF = 0.487
0.5 | 0.1 | Linear Regression | Lambda = 1.00e+02 | Normalized | Uncalibrated | PCA = 5| ActDCF = 3.315 | MinDCF = 1.0
0.5 | 0.5 | Linear Regression | Lambda = 1.00e+02 | Normalized | Uncalibrated | PCA = 5| ActDCF = 0.822 | MinDCF = 0.63
