0.5 | 0.1 | Quadratic Regression | Lambda = 1.00e-05 | Raw | PCA = 5 | ActDCF = 1.975 | MinDCF = 0.921
0.5 | 0.5 | Quadratic Regression | Lambda = 1.00e-05 | Raw | PCA = 5 | ActDCF = 0.277 | MinDCF = 0.275
0.5 | 0.1 | Quadratic Regression | Lambda = 1.00e-05 | Normalized | PCA = 5 | ActDCF = 0.985 | MinDCF = 0.901
0.5 | 0.5 | Quadratic Regression | Lambda = 1.00e-05 | Normalized | PCA = 5 | ActDCF = 0.941 | MinDCF = 0.395
0.5 | 0.1 | Quadratic Regression | Lambda = 5.99e-05 | Raw | PCA = 5 | ActDCF = 1.975 | MinDCF = 0.921
0.5 | 0.5 | Quadratic Regression | Lambda = 5.99e-05 | Raw | PCA = 5 | ActDCF = 0.277 | MinDCF = 0.275
0.5 | 0.1 | Quadratic Regression | Lambda = 5.99e-05 | Normalized | PCA = 5 | ActDCF = 0.985 | MinDCF = 0.901
0.5 | 0.5 | Quadratic Regression | Lambda = 5.99e-05 | Normalized | PCA = 5 | ActDCF = 0.941 | MinDCF = 0.395
0.5 | 0.1 | Quadratic Regression | Lambda = 3.59e-04 | Raw | PCA = 5 | ActDCF = 1.975 | MinDCF = 0.921
0.5 | 0.5 | Quadratic Regression | Lambda = 3.59e-04 | Raw | PCA = 5 | ActDCF = 0.277 | MinDCF = 0.275
0.5 | 0.1 | Quadratic Regression | Lambda = 3.59e-04 | Normalized | PCA = 5 | ActDCF = 0.988 | MinDCF = 0.903
0.5 | 0.5 | Quadratic Regression | Lambda = 3.59e-04 | Normalized | PCA = 5 | ActDCF = 0.943 | MinDCF = 0.395
0.5 | 0.1 | Quadratic Regression | Lambda = 2.15e-03 | Raw | PCA = 5 | ActDCF = 1.975 | MinDCF = 0.921
0.5 | 0.5 | Quadratic Regression | Lambda = 2.15e-03 | Raw | PCA = 5 | ActDCF = 0.277 | MinDCF = 0.275
0.5 | 0.1 | Quadratic Regression | Lambda = 2.15e-03 | Normalized | PCA = 5 | ActDCF = 0.985 | MinDCF = 0.899
0.5 | 0.5 | Quadratic Regression | Lambda = 2.15e-03 | Normalized | PCA = 5 | ActDCF = 0.941 | MinDCF = 0.394
0.5 | 0.1 | Quadratic Regression | Lambda = 1.29e-02 | Raw | PCA = 5 | ActDCF = 1.975 | MinDCF = 0.921
0.5 | 0.5 | Quadratic Regression | Lambda = 1.29e-02 | Raw | PCA = 5 | ActDCF = 0.277 | MinDCF = 0.275
0.5 | 0.1 | Quadratic Regression | Lambda = 1.29e-02 | Normalized | PCA = 5 | ActDCF = 0.988 | MinDCF = 0.879
0.5 | 0.5 | Quadratic Regression | Lambda = 1.29e-02 | Normalized | PCA = 5 | ActDCF = 0.943 | MinDCF = 0.386
0.5 | 0.1 | Quadratic Regression | Lambda = 7.74e-02 | Raw | PCA = 5 | ActDCF = 1.975 | MinDCF = 0.921
0.5 | 0.5 | Quadratic Regression | Lambda = 7.74e-02 | Raw | PCA = 5 | ActDCF = 0.277 | MinDCF = 0.275
0.5 | 0.1 | Quadratic Regression | Lambda = 7.74e-02 | Normalized | PCA = 5 | ActDCF = 0.988 | MinDCF = 0.853
0.5 | 0.5 | Quadratic Regression | Lambda = 7.74e-02 | Normalized | PCA = 5 | ActDCF = 0.943 | MinDCF = 0.366
0.5 | 0.1 | Quadratic Regression | Lambda = 4.64e-01 | Raw | PCA = 5 | ActDCF = 1.979 | MinDCF = 0.917
0.5 | 0.5 | Quadratic Regression | Lambda = 4.64e-01 | Raw | PCA = 5 | ActDCF = 0.278 | MinDCF = 0.275
0.5 | 0.1 | Quadratic Regression | Lambda = 4.64e-01 | Normalized | PCA = 5 | ActDCF = 0.977 | MinDCF = 0.847
0.5 | 0.5 | Quadratic Regression | Lambda = 4.64e-01 | Normalized | PCA = 5 | ActDCF = 0.924 | MinDCF = 0.362
0.5 | 0.1 | Quadratic Regression | Lambda = 2.78e+00 | Raw | PCA = 5 | ActDCF = 2.027 | MinDCF = 0.92
0.5 | 0.5 | Quadratic Regression | Lambda = 2.78e+00 | Raw | PCA = 5 | ActDCF = 0.281 | MinDCF = 0.273
0.5 | 0.1 | Quadratic Regression | Lambda = 2.78e+00 | Normalized | PCA = 5 | ActDCF = 0.959 | MinDCF = 0.847
0.5 | 0.5 | Quadratic Regression | Lambda = 2.78e+00 | Normalized | PCA = 5 | ActDCF = 0.907 | MinDCF = 0.365
0.5 | 0.1 | Quadratic Regression | Lambda = 1.67e+01 | Raw | PCA = 5 | ActDCF = 2.092 | MinDCF = 0.915
0.5 | 0.5 | Quadratic Regression | Lambda = 1.67e+01 | Raw | PCA = 5 | ActDCF = 0.272 | MinDCF = 0.272
0.5 | 0.1 | Quadratic Regression | Lambda = 1.67e+01 | Normalized | PCA = 5 | ActDCF = 0.952 | MinDCF = 0.844
0.5 | 0.5 | Quadratic Regression | Lambda = 1.67e+01 | Normalized | PCA = 5 | ActDCF = 0.899 | MinDCF = 0.364
0.5 | 0.1 | Quadratic Regression | Lambda = 1.00e+02 | Raw | PCA = 5 | ActDCF = 2.503 | MinDCF = 0.908
0.5 | 0.5 | Quadratic Regression | Lambda = 1.00e+02 | Raw | PCA = 5 | ActDCF = 0.298 | MinDCF = 0.27
0.5 | 0.1 | Quadratic Regression | Lambda = 1.00e+02 | Normalized | PCA = 5 | ActDCF = 0.952 | MinDCF = 0.844
0.5 | 0.5 | Quadratic Regression | Lambda = 1.00e+02 | Normalized | PCA = 5 | ActDCF = 0.899 | MinDCF = 0.363
