0.5 | 0.1 | SVM Poly | K = 0.0 | C = 0.01 | d = 2.0 | c = 0.0 | Raw | Uncalibrated | PCA = 5 | ActDCF = 0.906 | MinDCF = 0.472
0.5 | 0.1 | SVM Poly | K = 0.0 | C = 0.01 | d = 2.0 | c = 0.0 | Raw | Calibrated | PCA = 5 | ActDCF = 0.532 | MinDCF = 0.483
0.5 | 0.5 | SVM Poly | K = 0.0 | C = 0.01 | d = 2.0 | c = 0.0 | Raw | Uncalibrated | PCA = 5 | ActDCF = 0.87 | MinDCF = 0.115
0.5 | 0.5 | SVM Poly | K = 0.0 | C = 0.01 | d = 2.0 | c = 0.0 | Raw | Calibrated | PCA = 5 | ActDCF = 0.179 | MinDCF = 0.115
0.5 | 0.9 | SVM Poly | K = 0.0 | C = 0.01 | d = 2.0 | c = 0.0 | Raw | Uncalibrated | PCA = 5 | ActDCF = 7.79 | MinDCF = 0.214
0.5 | 0.9 | SVM Poly | K = 0.0 | C = 0.01 | d = 2.0 | c = 0.0 | Raw | Calibrated | PCA = 5 | ActDCF = 1.259 | MinDCF = 0.227
0.5 | 0.1 | SVM Poly | K = 0.0 | C = 0.01 | d = 2.0 | c = 0.0 | Normalized | Uncalibrated | PCA = 5 | ActDCF = 1.0 | MinDCF = 0.695
0.5 | 0.1 | SVM Poly | K = 0.0 | C = 0.01 | d = 2.0 | c = 0.0 | Normalized | Calibrated | PCA = 5 | ActDCF = 0.817 | MinDCF = 0.709
0.5 | 0.5 | SVM Poly | K = 0.0 | C = 0.01 | d = 2.0 | c = 0.0 | Normalized | Uncalibrated | PCA = 5 | ActDCF = 1.0 | MinDCF = 0.359
0.5 | 0.5 | SVM Poly | K = 0.0 | C = 0.01 | d = 2.0 | c = 0.0 | Normalized | Calibrated | PCA = 5 | ActDCF = 0.504 | MinDCF = 0.359
0.5 | 0.9 | SVM Poly | K = 0.0 | C = 0.01 | d = 2.0 | c = 0.0 | Normalized | Uncalibrated | PCA = 5 | ActDCF = 9.0 | MinDCF = 0.769
0.5 | 0.9 | SVM Poly | K = 0.0 | C = 0.01 | d = 2.0 | c = 0.0 | Normalized | Calibrated | PCA = 5 | ActDCF = 4.224 | MinDCF = 0.765
0.5 | 0.1 | SVM Poly | K = 0.0 | C = 0.01 | d = 2.0 | c = 1.0 | Raw | Uncalibrated | PCA = 5 | ActDCF = 0.493 | MinDCF = 0.461
0.5 | 0.1 | SVM Poly | K = 0.0 | C = 0.01 | d = 2.0 | c = 1.0 | Raw | Calibrated | PCA = 5 | ActDCF = 0.523 | MinDCF = 0.458
0.5 | 0.5 | SVM Poly | K = 0.0 | C = 0.01 | d = 2.0 | c = 1.0 | Raw | Uncalibrated | PCA = 5 | ActDCF = 0.335 | MinDCF = 0.118
0.5 | 0.5 | SVM Poly | K = 0.0 | C = 0.01 | d = 2.0 | c = 1.0 | Raw | Calibrated | PCA = 5 | ActDCF = 0.198 | MinDCF = 0.12
0.5 | 0.9 | SVM Poly | K = 0.0 | C = 0.01 | d = 2.0 | c = 1.0 | Raw | Uncalibrated | PCA = 5 | ActDCF = 2.855 | MinDCF = 0.198
0.5 | 0.9 | SVM Poly | K = 0.0 | C = 0.01 | d = 2.0 | c = 1.0 | Raw | Calibrated | PCA = 5 | ActDCF = 1.458 | MinDCF = 0.207
0.5 | 0.1 | SVM Poly | K = 0.0 | C = 0.01 | d = 2.0 | c = 1.0 | Normalized | Uncalibrated | PCA = 5 | ActDCF = 1.0 | MinDCF = 0.688
0.5 | 0.1 | SVM Poly | K = 0.0 | C = 0.01 | d = 2.0 | c = 1.0 | Normalized | Calibrated | PCA = 5 | ActDCF = 0.762 | MinDCF = 0.685
0.5 | 0.5 | SVM Poly | K = 0.0 | C = 0.01 | d = 2.0 | c = 1.0 | Normalized | Uncalibrated | PCA = 5 | ActDCF = 1.0 | MinDCF = 0.293
0.5 | 0.5 | SVM Poly | K = 0.0 | C = 0.01 | d = 2.0 | c = 1.0 | Normalized | Calibrated | PCA = 5 | ActDCF = 0.449 | MinDCF = 0.292
0.5 | 0.9 | SVM Poly | K = 0.0 | C = 0.01 | d = 2.0 | c = 1.0 | Normalized | Uncalibrated | PCA = 5 | ActDCF = 9.0 | MinDCF = 0.659
0.5 | 0.9 | SVM Poly | K = 0.0 | C = 0.01 | d = 2.0 | c = 1.0 | Normalized | Calibrated | PCA = 5 | ActDCF = 3.729 | MinDCF = 0.682
0.5 | 0.1 | SVM Poly | K = 0.0 | C = 0.01 | d = 3.0 | c = 0.0 | Raw | Uncalibrated | PCA = 5 | ActDCF = 4.78 | MinDCF = 1.0
0.5 | 0.1 | SVM Poly | K = 0.0 | C = 0.01 | d = 3.0 | c = 0.0 | Raw | Calibrated | PCA = 5 | ActDCF = 1.0 | MinDCF = 1.0
0.5 | 0.5 | SVM Poly | K = 0.0 | C = 0.01 | d = 3.0 | c = 0.0 | Raw | Uncalibrated | PCA = 5 | ActDCF = 0.971 | MinDCF = 0.613
0.5 | 0.5 | SVM Poly | K = 0.0 | C = 0.01 | d = 3.0 | c = 0.0 | Raw | Calibrated | PCA = 5 | ActDCF = 1.0 | MinDCF = 0.892
0.5 | 0.9 | SVM Poly | K = 0.0 | C = 0.01 | d = 3.0 | c = 0.0 | Raw | Uncalibrated | PCA = 5 | ActDCF = 4.931 | MinDCF = 0.705
0.5 | 0.9 | SVM Poly | K = 0.0 | C = 0.01 | d = 3.0 | c = 0.0 | Raw | Calibrated | PCA = 5 | ActDCF = 9.0 | MinDCF = 0.904
0.5 | 0.1 | SVM Poly | K = 0.0 | C = 0.01 | d = 3.0 | c = 0.0 | Normalized | Uncalibrated | PCA = 5 | ActDCF = 3.108 | MinDCF = 1.0
0.5 | 0.1 | SVM Poly | K = 0.0 | C = 0.01 | d = 3.0 | c = 0.0 | Normalized | Calibrated | PCA = 5 | ActDCF = 1.029 | MinDCF = 1.0
0.5 | 0.5 | SVM Poly | K = 0.0 | C = 0.01 | d = 3.0 | c = 0.0 | Normalized | Uncalibrated | PCA = 5 | ActDCF = 0.805 | MinDCF = 0.58
0.5 | 0.5 | SVM Poly | K = 0.0 | C = 0.01 | d = 3.0 | c = 0.0 | Normalized | Calibrated | PCA = 5 | ActDCF = 1.001 | MinDCF = 0.586
0.5 | 0.9 | SVM Poly | K = 0.0 | C = 0.01 | d = 3.0 | c = 0.0 | Normalized | Uncalibrated | PCA = 5 | ActDCF = 4.945 | MinDCF = 0.883
0.5 | 0.9 | SVM Poly | K = 0.0 | C = 0.01 | d = 3.0 | c = 0.0 | Normalized | Calibrated | PCA = 5 | ActDCF = 8.981 | MinDCF = 0.914
0.5 | 0.1 | SVM Poly | K = 0.0 | C = 0.01 | d = 3.0 | c = 1.0 | Raw | Uncalibrated | PCA = 5 | ActDCF = 3.063 | MinDCF = 1.0
0.5 | 0.1 | SVM Poly | K = 0.0 | C = 0.01 | d = 3.0 | c = 1.0 | Raw | Calibrated | PCA = 5 | ActDCF = 1.037 | MinDCF = 1.0
0.5 | 0.5 | SVM Poly | K = 0.0 | C = 0.01 | d = 3.0 | c = 1.0 | Raw | Uncalibrated | PCA = 5 | ActDCF = 0.696 | MinDCF = 0.456
0.5 | 0.5 | SVM Poly | K = 0.0 | C = 0.01 | d = 3.0 | c = 1.0 | Raw | Calibrated | PCA = 5 | ActDCF = 1.004 | MinDCF = 0.478
0.5 | 0.9 | SVM Poly | K = 0.0 | C = 0.01 | d = 3.0 | c = 1.0 | Raw | Uncalibrated | PCA = 5 | ActDCF = 3.896 | MinDCF = 0.571
0.5 | 0.9 | SVM Poly | K = 0.0 | C = 0.01 | d = 3.0 | c = 1.0 | Raw | Calibrated | PCA = 5 | ActDCF = 9.004 | MinDCF = 0.584
0.5 | 0.1 | SVM Poly | K = 0.0 | C = 0.01 | d = 3.0 | c = 1.0 | Normalized | Uncalibrated | PCA = 5 | ActDCF = 3.723 | MinDCF = 1.0
0.5 | 0.1 | SVM Poly | K = 0.0 | C = 0.01 | d = 3.0 | c = 1.0 | Normalized | Calibrated | PCA = 5 | ActDCF = 1.0 | MinDCF = 1.0
0.5 | 0.5 | SVM Poly | K = 0.0 | C = 0.01 | d = 3.0 | c = 1.0 | Normalized | Uncalibrated | PCA = 5 | ActDCF = 1.189 | MinDCF = 0.775
0.5 | 0.5 | SVM Poly | K = 0.0 | C = 0.01 | d = 3.0 | c = 1.0 | Normalized | Calibrated | PCA = 5 | ActDCF = 1.0 | MinDCF = 0.808
0.5 | 0.9 | SVM Poly | K = 0.0 | C = 0.01 | d = 3.0 | c = 1.0 | Normalized | Uncalibrated | PCA = 5 | ActDCF = 8.169 | MinDCF = 0.942
0.5 | 0.9 | SVM Poly | K = 0.0 | C = 0.01 | d = 3.0 | c = 1.0 | Normalized | Calibrated | PCA = 5 | ActDCF = 9.0 | MinDCF = 0.983
0.5 | 0.1 | SVM Poly | K = 0.0 | C = 0.03162277660168379 | d = 2.0 | c = 0.0 | Raw | Uncalibrated | PCA = 5 | ActDCF = 0.911 | MinDCF = 0.468
0.5 | 0.1 | SVM Poly | K = 0.0 | C = 0.03162277660168379 | d = 2.0 | c = 0.0 | Raw | Calibrated | PCA = 5 | ActDCF = 0.507 | MinDCF = 0.474
0.5 | 0.5 | SVM Poly | K = 0.0 | C = 0.03162277660168379 | d = 2.0 | c = 0.0 | Raw | Uncalibrated | PCA = 5 | ActDCF = 0.875 | MinDCF = 0.111
0.5 | 0.5 | SVM Poly | K = 0.0 | C = 0.03162277660168379 | d = 2.0 | c = 0.0 | Raw | Calibrated | PCA = 5 | ActDCF = 0.17 | MinDCF = 0.113
0.5 | 0.9 | SVM Poly | K = 0.0 | C = 0.03162277660168379 | d = 2.0 | c = 0.0 | Raw | Uncalibrated | PCA = 5 | ActDCF = 7.835 | MinDCF = 0.201
0.5 | 0.9 | SVM Poly | K = 0.0 | C = 0.03162277660168379 | d = 2.0 | c = 0.0 | Raw | Calibrated | PCA = 5 | ActDCF = 1.19 | MinDCF = 0.226
0.5 | 0.1 | SVM Poly | K = 0.0 | C = 0.03162277660168379 | d = 2.0 | c = 0.0 | Normalized | Uncalibrated | PCA = 5 | ActDCF = 0.998 | MinDCF = 0.805
0.5 | 0.1 | SVM Poly | K = 0.0 | C = 0.03162277660168379 | d = 2.0 | c = 0.0 | Normalized | Calibrated | PCA = 5 | ActDCF = 0.925 | MinDCF = 0.815
0.5 | 0.5 | SVM Poly | K = 0.0 | C = 0.03162277660168379 | d = 2.0 | c = 0.0 | Normalized | Uncalibrated | PCA = 5 | ActDCF = 0.998 | MinDCF = 0.422
0.5 | 0.5 | SVM Poly | K = 0.0 | C = 0.03162277660168379 | d = 2.0 | c = 0.0 | Normalized | Calibrated | PCA = 5 | ActDCF = 0.596 | MinDCF = 0.422
0.5 | 0.9 | SVM Poly | K = 0.0 | C = 0.03162277660168379 | d = 2.0 | c = 0.0 | Normalized | Uncalibrated | PCA = 5 | ActDCF = 8.978 | MinDCF = 0.854
0.5 | 0.9 | SVM Poly | K = 0.0 | C = 0.03162277660168379 | d = 2.0 | c = 0.0 | Normalized | Calibrated | PCA = 5 | ActDCF = 5.036 | MinDCF = 0.855
0.5 | 0.1 | SVM Poly | K = 0.0 | C = 0.03162277660168379 | d = 2.0 | c = 1.0 | Raw | Uncalibrated | PCA = 5 | ActDCF = 0.447 | MinDCF = 0.426
0.5 | 0.1 | SVM Poly | K = 0.0 | C = 0.03162277660168379 | d = 2.0 | c = 1.0 | Raw | Calibrated | PCA = 5 | ActDCF = 0.482 | MinDCF = 0.436
0.5 | 0.5 | SVM Poly | K = 0.0 | C = 0.03162277660168379 | d = 2.0 | c = 1.0 | Raw | Uncalibrated | PCA = 5 | ActDCF = 0.203 | MinDCF = 0.108
0.5 | 0.5 | SVM Poly | K = 0.0 | C = 0.03162277660168379 | d = 2.0 | c = 1.0 | Raw | Calibrated | PCA = 5 | ActDCF = 0.174 | MinDCF = 0.109
0.5 | 0.9 | SVM Poly | K = 0.0 | C = 0.03162277660168379 | d = 2.0 | c = 1.0 | Raw | Uncalibrated | PCA = 5 | ActDCF = 1.583 | MinDCF = 0.181
0.5 | 0.9 | SVM Poly | K = 0.0 | C = 0.03162277660168379 | d = 2.0 | c = 1.0 | Raw | Calibrated | PCA = 5 | ActDCF = 1.254 | MinDCF = 0.178
0.5 | 0.1 | SVM Poly | K = 0.0 | C = 0.03162277660168379 | d = 2.0 | c = 1.0 | Normalized | Uncalibrated | PCA = 5 | ActDCF = 0.998 | MinDCF = 0.69
0.5 | 0.1 | SVM Poly | K = 0.0 | C = 0.03162277660168379 | d = 2.0 | c = 1.0 | Normalized | Calibrated | PCA = 5 | ActDCF = 0.79 | MinDCF = 0.692
0.5 | 0.5 | SVM Poly | K = 0.0 | C = 0.03162277660168379 | d = 2.0 | c = 1.0 | Normalized | Uncalibrated | PCA = 5 | ActDCF = 0.998 | MinDCF = 0.291
0.5 | 0.5 | SVM Poly | K = 0.0 | C = 0.03162277660168379 | d = 2.0 | c = 1.0 | Normalized | Calibrated | PCA = 5 | ActDCF = 0.461 | MinDCF = 0.296
0.5 | 0.9 | SVM Poly | K = 0.0 | C = 0.03162277660168379 | d = 2.0 | c = 1.0 | Normalized | Uncalibrated | PCA = 5 | ActDCF = 8.978 | MinDCF = 0.604
0.5 | 0.9 | SVM Poly | K = 0.0 | C = 0.03162277660168379 | d = 2.0 | c = 1.0 | Normalized | Calibrated | PCA = 5 | ActDCF = 3.821 | MinDCF = 0.652
0.5 | 0.1 | SVM Poly | K = 0.0 | C = 0.03162277660168379 | d = 3.0 | c = 0.0 | Raw | Uncalibrated | PCA = 5 | ActDCF = 3.64 | MinDCF = 1.0
0.5 | 0.1 | SVM Poly | K = 0.0 | C = 0.03162277660168379 | d = 3.0 | c = 0.0 | Raw | Calibrated | PCA = 5 | ActDCF = 1.023 | MinDCF = 1.0
