0.1 | 0.1 | Linear Regression | Lambda = 1.00e-05 | Raw | Uncalibrated | PCA = 5| ActDCF = 1.0 | MinDCF = 1.0
0.1 | 0.5 | Linear Regression | Lambda = 1.00e-05 | Raw | Uncalibrated | PCA = 5| ActDCF = 1.0 | MinDCF = 0.518
0.1 | 0.1 | Linear Regression | Lambda = 1.00e-05 | Normalized | Uncalibrated | PCA = 5| ActDCF = 1.339 | MinDCF = 1.0
0.1 | 0.5 | Linear Regression | Lambda = 1.00e-05 | Normalized | Uncalibrated | PCA = 5| ActDCF = 1.002 | MinDCF = 0.68
0.1 | 0.1 | Linear Regression | Lambda = 5.99e-05 | Raw | Uncalibrated | PCA = 5| ActDCF = 1.0 | MinDCF = 1.0
0.1 | 0.5 | Linear Regression | Lambda = 5.99e-05 | Raw | Uncalibrated | PCA = 5| ActDCF = 1.0 | MinDCF = 0.518
0.1 | 0.1 | Linear Regression | Lambda = 5.99e-05 | Normalized | Uncalibrated | PCA = 5| ActDCF = 1.335 | MinDCF = 1.0
0.1 | 0.5 | Linear Regression | Lambda = 5.99e-05 | Normalized | Uncalibrated | PCA = 5| ActDCF = 1.002 | MinDCF = 0.679
0.1 | 0.1 | Linear Regression | Lambda = 3.59e-04 | Raw | Uncalibrated | PCA = 5| ActDCF = 1.0 | MinDCF = 1.0
0.1 | 0.5 | Linear Regression | Lambda = 3.59e-04 | Raw | Uncalibrated | PCA = 5| ActDCF = 1.0 | MinDCF = 0.518
0.1 | 0.1 | Linear Regression | Lambda = 3.59e-04 | Normalized | Uncalibrated | PCA = 5| ActDCF = 1.33 | MinDCF = 1.0
0.1 | 0.5 | Linear Regression | Lambda = 3.59e-04 | Normalized | Uncalibrated | PCA = 5| ActDCF = 1.001 | MinDCF = 0.677
0.1 | 0.1 | Linear Regression | Lambda = 2.15e-03 | Raw | Uncalibrated | PCA = 5| ActDCF = 1.0 | MinDCF = 1.0
0.1 | 0.5 | Linear Regression | Lambda = 2.15e-03 | Raw | Uncalibrated | PCA = 5| ActDCF = 1.0 | MinDCF = 0.518
0.1 | 0.1 | Linear Regression | Lambda = 2.15e-03 | Normalized | Uncalibrated | PCA = 5| ActDCF = 1.319 | MinDCF = 1.0
0.1 | 0.5 | Linear Regression | Lambda = 2.15e-03 | Normalized | Uncalibrated | PCA = 5| ActDCF = 1.007 | MinDCF = 0.673
0.1 | 0.1 | Linear Regression | Lambda = 1.29e-02 | Raw | Uncalibrated | PCA = 5| ActDCF = 1.0 | MinDCF = 1.0
0.1 | 0.5 | Linear Regression | Lambda = 1.29e-02 | Raw | Uncalibrated | PCA = 5| ActDCF = 1.0 | MinDCF = 0.518
0.1 | 0.1 | Linear Regression | Lambda = 1.29e-02 | Normalized | Uncalibrated | PCA = 5| ActDCF = 1.206 | MinDCF = 1.0
0.1 | 0.5 | Linear Regression | Lambda = 1.29e-02 | Normalized | Uncalibrated | PCA = 5| ActDCF = 1.007 | MinDCF = 0.653
0.1 | 0.1 | Linear Regression | Lambda = 7.74e-02 | Raw | Uncalibrated | PCA = 5| ActDCF = 1.0 | MinDCF = 1.0
0.1 | 0.5 | Linear Regression | Lambda = 7.74e-02 | Raw | Uncalibrated | PCA = 5| ActDCF = 1.0 | MinDCF = 0.518
0.1 | 0.1 | Linear Regression | Lambda = 7.74e-02 | Normalized | Uncalibrated | PCA = 5| ActDCF = 1.0 | MinDCF = 1.0
0.1 | 0.5 | Linear Regression | Lambda = 7.74e-02 | Normalized | Uncalibrated | PCA = 5| ActDCF = 1.0 | MinDCF = 0.621
0.1 | 0.1 | Linear Regression | Lambda = 4.64e-01 | Raw | Uncalibrated | PCA = 5| ActDCF = 1.0 | MinDCF = 1.0
0.1 | 0.5 | Linear Regression | Lambda = 4.64e-01 | Raw | Uncalibrated | PCA = 5| ActDCF = 1.0 | MinDCF = 0.512
0.1 | 0.1 | Linear Regression | Lambda = 4.64e-01 | Normalized | Uncalibrated | PCA = 5| ActDCF = 1.0 | MinDCF = 1.0
0.1 | 0.5 | Linear Regression | Lambda = 4.64e-01 | Normalized | Uncalibrated | PCA = 5| ActDCF = 1.0 | MinDCF = 0.614
0.1 | 0.1 | Linear Regression | Lambda = 2.78e+00 | Raw | Uncalibrated | PCA = 5| ActDCF = 1.0 | MinDCF = 1.0
0.1 | 0.5 | Linear Regression | Lambda = 2.78e+00 | Raw | Uncalibrated | PCA = 5| ActDCF = 1.0 | MinDCF = 0.492
0.1 | 0.1 | Linear Regression | Lambda = 2.78e+00 | Normalized | Uncalibrated | PCA = 5| ActDCF = 1.0 | MinDCF = 1.0
0.1 | 0.5 | Linear Regression | Lambda = 2.78e+00 | Normalized | Uncalibrated | PCA = 5| ActDCF = 1.0 | MinDCF = 0.627
