0.1 | 0.1 | Quadratic Regression | Lambda = 1.00e-05 | Raw | PCA = 5 | ActDCF = 0.97 | MinDCF = 0.878
0.1 | 0.5 | Quadratic Regression | Lambda = 1.00e-05 | Raw | PCA = 5 | ActDCF = 0.832 | MinDCF = 0.273
0.1 | 0.1 | Quadratic Regression | Lambda = 1.00e-05 | Normalized | PCA = 5 | ActDCF = 1.022 | MinDCF = 0.957
0.1 | 0.5 | Quadratic Regression | Lambda = 1.00e-05 | Normalized | PCA = 5 | ActDCF = 0.994 | MinDCF = 0.406
0.1 | 0.1 | Quadratic Regression | Lambda = 5.99e-05 | Raw | PCA = 5 | ActDCF = 0.97 | MinDCF = 0.878
0.1 | 0.5 | Quadratic Regression | Lambda = 5.99e-05 | Raw | PCA = 5 | ActDCF = 0.832 | MinDCF = 0.273
0.1 | 0.1 | Quadratic Regression | Lambda = 5.99e-05 | Normalized | PCA = 5 | ActDCF = 1.022 | MinDCF = 0.957
0.1 | 0.5 | Quadratic Regression | Lambda = 5.99e-05 | Normalized | PCA = 5 | ActDCF = 0.994 | MinDCF = 0.406
0.1 | 0.1 | Quadratic Regression | Lambda = 3.59e-04 | Raw | PCA = 5 | ActDCF = 0.97 | MinDCF = 0.878
0.1 | 0.5 | Quadratic Regression | Lambda = 3.59e-04 | Raw | PCA = 5 | ActDCF = 0.832 | MinDCF = 0.273
0.1 | 0.1 | Quadratic Regression | Lambda = 3.59e-04 | Normalized | PCA = 5 | ActDCF = 1.022 | MinDCF = 0.956
0.1 | 0.5 | Quadratic Regression | Lambda = 3.59e-04 | Normalized | PCA = 5 | ActDCF = 0.994 | MinDCF = 0.407
0.1 | 0.1 | Quadratic Regression | Lambda = 2.15e-03 | Raw | PCA = 5 | ActDCF = 0.97 | MinDCF = 0.878
0.1 | 0.5 | Quadratic Regression | Lambda = 2.15e-03 | Raw | PCA = 5 | ActDCF = 0.832 | MinDCF = 0.273
0.1 | 0.1 | Quadratic Regression | Lambda = 2.15e-03 | Normalized | PCA = 5 | ActDCF = 1.022 | MinDCF = 0.937
0.1 | 0.5 | Quadratic Regression | Lambda = 2.15e-03 | Normalized | PCA = 5 | ActDCF = 0.994 | MinDCF = 0.396
0.1 | 0.1 | Quadratic Regression | Lambda = 1.29e-02 | Raw | PCA = 5 | ActDCF = 0.968 | MinDCF = 0.875
0.1 | 0.5 | Quadratic Regression | Lambda = 1.29e-02 | Raw | PCA = 5 | ActDCF = 0.834 | MinDCF = 0.273
0.1 | 0.1 | Quadratic Regression | Lambda = 1.29e-02 | Normalized | PCA = 5 | ActDCF = 1.022 | MinDCF = 0.898
0.1 | 0.5 | Quadratic Regression | Lambda = 1.29e-02 | Normalized | PCA = 5 | ActDCF = 0.998 | MinDCF = 0.377
0.1 | 0.1 | Quadratic Regression | Lambda = 7.74e-02 | Raw | PCA = 5 | ActDCF = 0.973 | MinDCF = 0.878
0.1 | 0.5 | Quadratic Regression | Lambda = 7.74e-02 | Raw | PCA = 5 | ActDCF = 0.835 | MinDCF = 0.273
0.1 | 0.1 | Quadratic Regression | Lambda = 7.74e-02 | Normalized | PCA = 5 | ActDCF = 1.0 | MinDCF = 0.857
0.1 | 0.5 | Quadratic Regression | Lambda = 7.74e-02 | Normalized | PCA = 5 | ActDCF = 1.0 | MinDCF = 0.361
0.1 | 0.1 | Quadratic Regression | Lambda = 4.64e-01 | Raw | PCA = 5 | ActDCF = 0.967 | MinDCF = 0.878
0.1 | 0.5 | Quadratic Regression | Lambda = 4.64e-01 | Raw | PCA = 5 | ActDCF = 0.85 | MinDCF = 0.273
0.1 | 0.1 | Quadratic Regression | Lambda = 4.64e-01 | Normalized | PCA = 5 | ActDCF = 1.0 | MinDCF = 0.849
0.1 | 0.5 | Quadratic Regression | Lambda = 4.64e-01 | Normalized | PCA = 5 | ActDCF = 1.0 | MinDCF = 0.36
0.1 | 0.1 | Quadratic Regression | Lambda = 2.78e+00 | Raw | PCA = 5 | ActDCF = 0.97 | MinDCF = 0.884
0.1 | 0.5 | Quadratic Regression | Lambda = 2.78e+00 | Raw | PCA = 5 | ActDCF = 0.95 | MinDCF = 0.273
0.1 | 0.1 | Quadratic Regression | Lambda = 2.78e+00 | Normalized | PCA = 5 | ActDCF = 1.0 | MinDCF = 0.847
0.1 | 0.5 | Quadratic Regression | Lambda = 2.78e+00 | Normalized | PCA = 5 | ActDCF = 1.0 | MinDCF = 0.362
0.1 | 0.1 | Quadratic Regression | Lambda = 1.67e+01 | Raw | PCA = 5 | ActDCF = 1.0 | MinDCF = 0.893
0.1 | 0.5 | Quadratic Regression | Lambda = 1.67e+01 | Raw | PCA = 5 | ActDCF = 1.0 | MinDCF = 0.269
0.1 | 0.1 | Quadratic Regression | Lambda = 1.67e+01 | Normalized | PCA = 5 | ActDCF = 1.0 | MinDCF = 0.844
0.1 | 0.5 | Quadratic Regression | Lambda = 1.67e+01 | Normalized | PCA = 5 | ActDCF = 1.0 | MinDCF = 0.363
0.1 | 0.1 | Quadratic Regression | Lambda = 1.00e+02 | Raw | PCA = 5 | ActDCF = 1.0 | MinDCF = 0.922
0.1 | 0.5 | Quadratic Regression | Lambda = 1.00e+02 | Raw | PCA = 5 | ActDCF = 1.0 | MinDCF = 0.27
0.1 | 0.1 | Quadratic Regression | Lambda = 1.00e+02 | Normalized | PCA = 5 | ActDCF = 1.0 | MinDCF = 0.85
0.1 | 0.5 | Quadratic Regression | Lambda = 1.00e+02 | Normalized | PCA = 5 | ActDCF = 1.0 | MinDCF = 0.363
