0.1 | 0.1 | SVM Linear | K = 0.0 | C = 0.01 | Raw | Uncalibrated | PCA = 5 | ActDCF = 2.945 | MinDCF = 1.0
0.1 | 0.1 | SVM Linear | K = 0.0 | C = 0.01 | Raw | Calibrated | PCA = 5 | ActDCF = 6.716 | MinDCF = 1.0
0.1 | 0.5 | SVM Linear | K = 0.0 | C = 0.01 | Raw | Uncalibrated | PCA = 5 | ActDCF = 0.776 | MinDCF = 0.481
0.1 | 0.5 | SVM Linear | K = 0.0 | C = 0.01 | Raw | Calibrated | PCA = 5 | ActDCF = 0.746 | MinDCF = 0.49
0.1 | 0.9 | SVM Linear | K = 0.0 | C = 0.01 | Raw | Uncalibrated | PCA = 5 | ActDCF = 4.816 | MinDCF = 0.544
0.1 | 0.9 | SVM Linear | K = 0.0 | C = 0.01 | Raw | Calibrated | PCA = 5 | ActDCF = 0.746 | MinDCF = 0.55
0.1 | 0.1 | SVM Linear | K = 0.0 | C = 0.01 | Normalized | Uncalibrated | PCA = 5 | ActDCF = 3.227 | MinDCF = 1.0
0.1 | 0.1 | SVM Linear | K = 0.0 | C = 0.01 | Normalized | Calibrated | PCA = 5 | ActDCF = 6.606 | MinDCF = 1.0
0.1 | 0.5 | SVM Linear | K = 0.0 | C = 0.01 | Normalized | Uncalibrated | PCA = 5 | ActDCF = 0.843 | MinDCF = 0.624
0.1 | 0.5 | SVM Linear | K = 0.0 | C = 0.01 | Normalized | Calibrated | PCA = 5 | ActDCF = 0.754 | MinDCF = 0.648
0.1 | 0.9 | SVM Linear | K = 0.0 | C = 0.01 | Normalized | Uncalibrated | PCA = 5 | ActDCF = 5.203 | MinDCF = 0.863
0.1 | 0.9 | SVM Linear | K = 0.0 | C = 0.01 | Normalized | Calibrated | PCA = 5 | ActDCF = 0.934 | MinDCF = 0.85
0.1 | 0.1 | SVM Linear | K = 0.0 | C = 0.016681005372000592 | Raw | Uncalibrated | PCA = 5 | ActDCF = 2.938 | MinDCF = 1.0
0.1 | 0.1 | SVM Linear | K = 0.0 | C = 0.016681005372000592 | Raw | Calibrated | PCA = 5 | ActDCF = 6.729 | MinDCF = 1.0
0.1 | 0.5 | SVM Linear | K = 0.0 | C = 0.016681005372000592 | Raw | Uncalibrated | PCA = 5 | ActDCF = 0.773 | MinDCF = 0.481
0.1 | 0.5 | SVM Linear | K = 0.0 | C = 0.016681005372000592 | Raw | Calibrated | PCA = 5 | ActDCF = 0.748 | MinDCF = 0.491
